data;instytucja;fundusz;DATA_fundusz;typ_aktywa;emitent;isin;waluta;liczba_sztuk;wartosc_nominalna;wartosc_wg_ceny_nabycia;wartosc_wg_wyceny;udzial_proc_aktywa;termin_wykupu;rodzaj_oprocentowania;oprocentowanie;rodzaj_rynku;rynek;nazwa_instrumentu;typ_instrumentu;poziom_hierarchii;TYP_aktywo_std
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;INGBSK;PLBSK0000017;PLN;0;0;0;392;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;InPost SA;LU2290522684;PLN;0;0;0;3420;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;INTERCARS;PLINTCS00010;PLN;0;0;0;737;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;Intuitive Surgical Inc;US46120E6023;PLN;0;0;0;572;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;Jeronimo Martins SGPS SA;PTJMT0AE0001;PLN;0;0;0;625;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;PLKETY000011;PLN;0;0;0;297;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;KRUK;PLKRK0000010;PLN;0;0;0;910;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;LPP;PLLPP0000011;PLN;0;0;0;5441;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;FR0000121014;PLN;0;0;0;403;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;Medicover AB;SE0009778848;PLN;0;0;0;1208;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;Microsoft Corp;US5949181045;PLN;0;0;0;2821;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;PLMRBUD00015;PLN;0;0;0;447;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;US60741F1049;PLN;0;0;0;493;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;Mo-BRUK SA;PLMOBRK00013;PLN;0;0;0;511;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;PLMURPL00190;PLN;0;0;0;79;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;NEUCA;PLTRFRM00018;PLN;0;0;0;1021;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;US6541061031;PLN;0;0;0;296;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;CH0012005267;PLN;0;0;0;471;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;DK0062498333;PLN;0;0;0;410;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;NVIDIA Corp;US67066G1040;PLN;0;0;0;2837;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;PLTLKPL00017;PLN;0;0;0;453;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;DK0060094928;PLN;0;0;0;26;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;Palo Alto Networks Inc;US6974351057;PLN;0;0;0;1105;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;PEKAO;PLPEKAO00016;PLN;0;0;0;3763;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;;NL0015000AU7;PLN;0;0;0;20;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;PGE;PLPGER000010;PLN;0;0;0;595;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;PKNORLEN;PLPKN0000018;PLN;0;0;0;6028;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;PKOBP;PLPKO0000016;PLN;0;0;0;4931;;;;;;;Akcje;;akcje
2023-12-31;TFI PZU S.A.;inPZU Puls Życia 2030;2030;Akcje;PZU;PLPZU0000011;PLN;0;0;0;4184;;;;;;;Akcje;;akcje
