quarter;instytucja;fundusz;emitent;shares_no;source
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Grupa Kęty S.A.;3033,839691;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Grupa Pracuj S.A.;#VALUE!;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;ING Bank Śląski S.A.;12314,3048;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;ING Groep N.V.;4230,640772;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;InPost S.A.;8678,671591;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Intel Corp.;119,2029717;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;JP Morgan Chase & Co.;1240,423278;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;KGHM Polska Miedź S.A.;32215,85069;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Kruk S.A.;3396,974403;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;LPP S.A.;434,3162903;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;LVMH S.A.;121,4523799;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Linde Plc;43,79787541;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Lundin Mining Corp.;50224,20271;nationale_nederlanden_fixed_structure.csv
4Q23;Nationale-Nederlanden;NN DFE Nasze Jutro 2030;Mercadolibre Inc.;23,50951193;nationale_nederlanden_fixed_structure.csv
