COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
MO-BRUK S.A.;MBR PW Equity;;0.5%;;0.1%;;0.7%;;;0.3%;0.8%;0.7%;1.9%;5.0%
LVMH Moet Hennessy Louis Vuitton;MC FP Equity;;;0.4%;;0.3%;;;;;;;;0.6%
MERCOR S.A.;MCR PW Equity;;0.4%;;;;;;;;;;;0.4%
Mondelez International, Inc.;MDLZ US Equity;;;;;;;;;;0.8%;;;0.8%
Mercadolibre Inc.;MELI US Equity;;;;;;;0.1%;;;;;;0.1%
Facebook Inc.;META US Equity;;;;;;;0.1%;;;0.6%;0.8%;;1.5%
MFO S.A.;MFO PW Equity;0.1%;0.2%;;;;;;;0.0%;;0.9%;;1.2%
MANGATA HOLDING S.A.;MGT PW Equity;;0.0%;;;;;;;;;;;0.0%
BANK MILLENNIUM S.A.;MIL PW Equity;;1.0%;;1.1%;2.0%;;1.7%;1.3%;1.8%;2.3%;0.5%;1.4%;13.2%
MLP GROUP S.A.;MLG PW Equity;;0.0%;;0.4%;0.2%;;;;;2.2%;;0.1%;2.8%
MARTIN MARIETTA MATERIALS INC;MLM US Equity;;;;;1.1%;;;;;;;;1.1%
ML SYSTEM S.A.;MLS PW Equity;;0.2%;;;;0.6%;;;;;0.0%;;0.8%
MOLECURE S.A.;MOC PW Equity;0.2%;0.1%;;;;;;;;;;;0.3%
MARATHON PETROLEUM CORP;MPC US Equity;;;;;0.4%;;;;;;;;0.4%
MIRBUD S.A.;MRB PW Equity;;0.4%;0.1%;1.3%;0.8%;;0.3%;0.8%;;;0.7%;0.4%;4.8%
MARVELL TECHNOLOGY INC;MRVL US Equity;;;;;0.7%;;;;;;;;0.7%
Microsoft Corporation;MSFT US Equity;;;1.1%;;1.5%;;1.0%;;;1.1%;1.5%;;6.2%
MAGYAR TELEKOM TELECOMMUNICATIONS PLC;MTELEKOM HB Equity;;;;0.7%;;;;;;;;;0.7%
MTU Aero Engines AG;MTX GR Equity;;;0.3%;;;;;;;;;;0.3%
Micron Technology Inc;MU US Equity;;;0.5%;;;;1.1%;;;;;;1.7%
MARVIPOL DEVELOPMENT S.A.;MVP PW Equity;;0.1%;;;;;;;;;;;0.1%
COMARCH S.A.;NA;1.0%;0.1%;0.5%;1.1%;3.8%;0.5%;25.4%;0.1%;1.1%;1.4%;4.1%;;39.0%
Nadaq Inc.;NDAQ US Equity;;;;;;;;;;0.5%;;;0.5%
Newmont Mining Corp;NEM US Equity;1.2%;;;;0.7%;;;;;;;;1.8%
Nestle SA;NESN SW Equity;;;0.4%;;;;;;;;;;0.4%
NEUCA S.A.;NEU PW Equity;2.9%;0.2%;1.4%;0.2%;1.9%;0.8%;;;0.9%;0.6%;0.7%;0.7%;10.2%
NIKE;NKE US Equity;;;0.6%;;;;;;;;;;0.6%
Nektar Therapeutics;NKTR US Equity;;;;;;;0.9%;;;;;;0.9%
NanoGroup S.A.;NNG PW Equity;;0.0%;;;;;;;;;;;0.0%
Novartis AG;NOVN SW Equity;;;;;;;;;;1.6%;;;1.6%
NOVO NORDISK A/S;NOVOB DC Equity;;;;;0.4%;;;;;;;;0.4%
SERVICENOW, INC.;NOW US Equity;;;;;1.5%;;;;;;;;1.5%
NORFOLK SOUTHERN CORP;NSC US Equity;;;;;0.5%;;;;;;;;0.5%
NVIDIA CORP;NVDA US Equity;;;0.8%;;1.3%;;1.7%;;;;1.0%;;4.8%
NEWAG S.A.;NWG PW Equity;;0.3%;;0.0%;;;;;;;;;0.4%
ORZEŁ BIAŁY S.A.;OBL PW Equity;;0.3%;;;;;;;;;;;0.3%
OCULAR THERAPEUTIX, INC.;OCUL US Equity;;;;;;;;;;;0.9%;;0.9%
ONDE S.A.;OND PW Equity;;0.0%;;;;;;;;;;0.0%;0.0%
ORANGE POLSKA S.A.;OPL PW Equity;;0.9%;0.9%;0.8%;1.8%;1.3%;1.1%;1.2%;1.2%;;;1.2%;10.4%
OPONEO.PL S.A.;OPN PW Equity;0.3%;0.2%;0.2%;0.1%;0.3%;;;;;0.0%;;;1.1%
L'OREAL SA;OR FP Equity;;;;;0.1%;;;;;;;;0.1%
Oracle Corp.;ORCL US Equity;;;;;;;0.6%;;;;;;0.6%
Orsted A/S;ORSTED DC Equity;;;;;;;;;;1.2%;;;1.2%
