COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
BENEFIT SYSTEMS S.A.;BFT PW Equity;0.02187989916743829;0.024962418251801757;0.026738828451138152;0.014309919536641351;0.015478023858340908;0.018969877238252861;0.02713368868267333;0.029696653696693778;0.01667469232839061;0.04651748909731764;0.017154346226604642;0.02028291295052205;0.037891944470788164;0.31769069395660356
BHP Group Limited;BHP AU Equity;;;;;;;;;;;0.004491125026159114;;;0.004491125026159114
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;;0.008965285600487052;;0.001953136497734728;0.005021475149124692;;;;0.009276509645389314;;;;;0.025216406892735788
PLN BICO GROUP AG;BICO SS Equity;;;0.0002611206919316739;;;;;;;;;;;0.0002611206919316739
PLN BOOKING HOLDINGS INC;BKNG US Equity;;;0.01694217194314368;;;;;;;;;;;0.01694217194314368
BUMECH S.A.;BMC PW Equity;;0.00005225419922347794;;;;;;;;;;;;0.00005225419922347794
PLN AND INFORMATION NETWORK AG;BNN GR Equity;;;0.00040681716475261274;;;;;;;;;;;0.00040681716475261274
BNP Paribas SA;BNP FP Equity;;;0.0009018249026602684;;;0.0024274490205119528;;0.00025787987699339564;;;;;;0.0035871538001656167
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;0.011282953980916801;;0.005101952196243009;0.006655005346780654;0.0009301183898056725;0.008114221089804372;0.007915585875132417;;0.008249599830187156;0.010055110819045343;0.0047696522185725926;0.005309367609115804;0.0044971485902161723;0.07288071594582
Berkshire Hathaway Inc.;BRK/A US Equity;;;;;;;;0.0020601104891709715;;;;;;0.0020601104891709715
DUTCH BROS INC;BROS US Equity;;;;;;0.0011439866396036352;;;;;;;;0.0011439866396036352
PLN PEABODY ENERGY CORP;BTU US Equity;;;0.007304812610695279;;;;;;;;;;;0.007304812610695279
