COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
PLN MAYR MELNHOF KARTON AG;MMK AV Equity;;;0.0003911337157957073;;;;;;;;;;;0.0003911337157957073
Monster Beverage Corp;MNST US Equity;;;;0.0024899710473008924;;;;;;;;;;0.0024899710473008924
MOLECURE S.A.;MOC PW Equity;;0.000222020833749899;;;;;;;;;;;;0.000222020833749899
PLN MOL HUNGARIAN OIL & GAS PLC;MOL HB Equity;;;0.005164546107559712;;;;;;;;;;;0.005164546107559712
PLN THE MOSAIC COMPANY;MOS US Equity;;;0.002740822757399936;;;;;;;;;;;0.002740822757399936
MIRBUD S.A.;MRB PW Equity;;0.006339520005644232;0.008980359103159773;0.012780323506457658;0.008761971262325298;0.006292191958870551;;0.009546047578452654;;0.02059374813310234;0.00019956751778000055;0.006641165255922381;0.012064866657163267;0.09219976097887816
Marvell Technology Inc.;MRVL US Equity;;;;;;0.010742054842479838;;0.010560745875133664;;0.007461989963558158;;;;0.02876479068117166
MICROSOFT CORPORATION;MSFT US Equity;;;0.005918617229069768;0.012177851261040755;;0.012712145544469355;0.009459395520409662;;;0.02889024135253002;0.010033278276031405;0.01681775968913203;;0.096009288872683
Arcelormittal SA;MT NA Equity;;;;;;;;0.0019796119632188316;;;;;;0.0019796119632188316
MAGYAR TELEKOM TELECOMMUNICATIONS PLC;MTELEKOM HB Equity;;;;;0.02029899347932853;;;;;;;;;0.02029899347932853
MICRON TECHNOLOGY INC.;MU US Equity;;;0.018832118994345084;0.0019210954121697094;;0.001623124769507667;;;;0.0024605711213334128;;0.006380795853979734;;0.03121770615133561
MURAPOL S.A.;MUR PW Equity;;;;;;;;;;;;0.005545759158784536;;0.005545759158784536
MURPHY USA INC;MUSA US Equity;;;;;;0.0036747493739313086;;;;;;;;0.0036747493739313086
MARVIPOL DEVELOPMENT S.A.;MVP PW Equity;;0.0003432578272559656;;;;;;;;;;;;0.0003432578272559656
ALPHABET INC.;NA;0.01660620724227575;;0.0022623228289505282;;0.006569975076135179;0.02014296618992496;;0.23802070311122407;0.010574470450366955;0.01509386761455284;0.011814666996907772;0.016634199999531758;;0.3377193795098699
NEWMONT CORPORATION;NEM US Equity;0.017327965422553062;;0.0006265550840716072;;;0.0020206923654715447;;;;;;;;0.019975212872096213
Nestle SA;NESN SW Equity;;;;0.003949191720647711;;;;;;;;;;0.003949191720647711
CLOUDFLARE INC;NET US Equity;;;;;;0.0010717331002748148;;;;;;;;0.0010717331002748148
NEUCA S.A.;NEU PW Equity;0.03075698992585787;0.005390964953578276;0.0028313247783809764;0.009090031386005193;0.0013808790994571768;0.01706895391699868;0.009910790674937232;;0.00889638632635437;0.016292415914929206;0.0006231881925054274;0.004902141601388653;0.005306367007898855;0.11245043377829193
NIKE;NKE US Equity;0.003192327767626805;;;0.007769040192623625;;;;;;;;;;0.01096136796025043
PLN NOLATO AB;NOLAB SS Equity;;;0.0000019364423631599526;;;;;;;;;;;0.0000019364423631599526
Novartis AG;NOVN SW Equity;;;;;;;;;;0.003117719099109863;0.004792449407101995;;;0.007910168506211859
NOVO NORDISK A/S;NOVOB DC Equity;;;;;;;;;;0.006155161598661808;;0.005848946818301595;;0.012004108416963404
ServiceNow Inc.;NOW US Equity;;;;;;0.015448719464895395;;0.01135049003772598;;;;;;0.026799209502621375
NORFOLK SOUTHERN CORP;NSC US Equity;;;;;;0.0018158754042361613;;;;;;;;0.0018158754042361613
NVIDIA CORP;NVDA US Equity;;;0.032374202827742034;0.013740881237203284;;0.014041665954220124;0.011414251728472;;;0.02578559053706912;;0.016317273973218502;;0.11367386625792506
NEWAG S.A.;NWG PW Equity;;0.00465938711525948;;;0.0024312414818791545;;;;;0.003252135730927773;;;;0.01034276432806641
ORZEŁ BIAŁY S.A.;OBL PW Equity;;0.0019697329337211308;;;;;;;;;;;;0.0019697329337211308
OCULAR THERAPEUTIX, INC.;OCUL US Equity;;;;;;;;;;;;0.002645093474347292;;0.002645093474347292
PLN OMV AG;OMV AV Equity;;;0.00039218644255169265;;;;;;;;;;;0.00039218644255169265
ONDE S.A.;OND PW Equity;;;;;;;;;;;;;0.00002750430016380766;0.00002750430016380766
ONE UNITED PROPERTIES SA;ONE RO Equity;;;;;;;;;;;;0.006111862093147625;;0.006111862093147625
ORANGE POLSKA S.A.;OPL PW Equity;;0.006507704295856137;0.0036875233776539607;0.003060364882629647;0.006569272197188109;0.014700144153442678;0.008004680560360501;0.00817461242994952;0.012340629887226058;;0.0010585964789435072;;0.009761093622966026;0.07386462188621614
OPONEO.PL S.A.;OPN PW Equity;0.008486094566388263;0.0004184451067555308;;0.0025593242670280075;0.007621501614383096;0.004532695556089639;;;;;0.00000023504709297413654;;;0.023618296157737513
ORACLE CORPORATION;ORCL US Equity;;;;;;0.0011140508234048858;;;;;;;;0.0011140508234048858
Orsted A/S;ORSTED DC Equity;;;;;;;;;;;0.007741447620499218;;;0.007741447620499218
ONESPAWORLD HOLDINGS LTD;OSW US Equity;;;;;;0.0018072369624846157;;;;;;;;0.0018072369624846157
OTP BANK NYRT.;OTP HB Equity;;;;;0.005550157613504427;;;;;;;;;0.005550157613504427
Occidental Petroleum Corp;OXY US Equity;;;;0.0045484202947745583;;;;;;;;;;0.0045484202947745583
Pan American Silver Corp;PAAS CN Equity;0.008581728013656932;;;;;;;;;;;;;0.008581728013656932
PALO ALTO NETWORKS, INC.;PANW US Equity;;;;;;0.000683410518012925;;;;;;;;0.000683410518012925
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX S.A.;PBX PW Equity;;0.0023882177788533712;;;;;0.006013904433119993;;;;;0.00357974615494668;;0.011981868366920043
PCF GROUP SA;PCF PW Equity;;0.0000045321934021613834;;;;;;;0.0011220988662140668;;;;;0.0011266310596162282
PEPCO GROUP N.V.;PCO PW Equity;;0.006124838913149445;0.010670376121316791;0.005126408315024308;0.0049034207948349406;0.0019046159602193413;0.008647152767365652;0.005625177283391475;0.009979091188117111;0.009758274090447457;0.007792943594790208;0.013315787819324985;0.006931542851184841;0.09077962969916653
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;0.05353465825547212;0.05155128032398163;0.06510399993877121;0.051784383219779615;0.05892091626332088;0.02032790515599296;0.06738840090840585;;0.07254276688037188;0.034009274747595435;0.06909770073909526;0.06319837015056693;0.051371485732249385;0.6588311423156031
POLENERGIA S.A.;PEP PW Equity;;0.004197856146632124;;;0.00044921547396150834;;;;;;;;0.001834423874918501;0.006481495495512133
PepsiCo Inc.;PEP US Equity;;;;;;;;0.0001340149889359826;;;0.002731127172233092;;;0.0028651421611690747
PLN PETROL DD LJUBLJANA;PETG SV Equity;;;0.000038695696550337076;;;;;;;;;;;0.000038695696550337076
Pfizer Inc.;PFE US Equity;;;;;;;;;;;0.009964133631164576;;;0.009964133631164576
Procter & Gamble Company;PG US Equity;;;;;;;;;;;0.01089025678501755;;;0.01089025678501755
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;;0.004456677871054836;0.015775212237956175;0.002649544795400925;0.008059860312829168;0.006218914431580097;0.01110341212741699;;0.016551744779954178;;0.005653854752411789;;0.006619414975701996;0.07708863628430616
ORLEN S.A.;PKN PW Equity;0.02536017885812901;0.05739910036386106;0.04524554924591576;0.04972894001500196;0.018709855495225878;0.01772489781126606;0.05807876554157688;0.019921333552665215;0.0691757112963706;0.035478523209271757;0.07813551537284753;0.05319996667234077;0.02445004071370573;0.55260837814817826
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;0.11357381888454544;0.09422579045237068;0.10313387975108498;0.08755613242086985;0.10314824175022288;0.01698378676442854;0.11202206356540803;;0.12796702384128949;0.07134909492801243;0.07580312206011761;0.075927240141128465;0.10960490628846586;1.0912951008479442
PKP Cargo S.A.;PKP PW Equity;;;;;;;;0.008343822615341036;0.0016869046114586259;0.0044133460780213873;;;;0.014444073304821048
PLAYWAY S.A.;PLW PW Equity;0.007692932144844377;0.0019936838210552998;;0.005136787495718856;0.0005828388986053355;;0.007698656954731563;;0.00046773089237897;;;;;0.0235726302073344
PNC FINANCIAL SERVICES GROUP;PNC US Equity;;;;;;0.002527847095394749;;;;;;;;0.002527847095394749
Insulet Corp.;PODD US Equity;;;;;;;;0.00008958636259513406;;;;;;0.00008958636259513406
PORR AG;POS AV Equity;;;;;0.00515586236418014;;;;;;;;;0.00515586236418014
PLN PSI SOFTWARE SE;PSAN GR Equity;;;0.000003456009721515147;;;;;;;;;;;0.000003456009721515147
PARSONS CORP;PSN US Equity;;;;;;0.007546229029406003;;;;;;;;0.007546229029406003
Poltreg SA;PTG PW Equity;0.0006639918567815846;0.0010919727459157355;;;;;;;;;;;;0.0017559646026973202
QUANTA SERVICES INC;PWR US Equity;;;;;;0.01370425599113706;;;;;;;;0.01370425599113706
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;0.06463908239030788;0.049729876242857305;0.03689271934040467;0.04387995572766442;0.05779302490347107;0.019875685917240586;0.06237569678356238;;0.06639308984064192;0.0422254913674652;0.07711936976274865;0.05560594059503182;0.11488095796480948;0.6914108908362053
QUALCOMM INC.;QCOM US Equity;;;;;;0.001667444312863408;;;;;;;;0.001667444312863408
QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.;QRS PW Equity;;;;;;0.0022287495665726437;;;;;;;;0.0022287495665726437
RAIFFEISEN BANK INTERNATIONAL AG;RBI AV Equity;;;;;0.006056890306040656;;;;;;;;;0.006056890306040656
RAINBOW TOURS S.A.;RBW PW Equity;0.015560656291505044;0.005880854615515181;;0.007405136841824337;0.017956928914544712;0.013451706254393;0.003291428908456701;0.012715933753731772;0.0021982170289196512;0.011460884760140988;0.0049940061197243873;;0.011038047655861198;0.10595380114461696
Regeneron Pharmaceuticals inc.;REGN US Equity;;;;0.001369876514689277;;;;;;;;;;0.001369876514689277
PLN REPSOL YPF;REP SM Equity;;;0.004461837704120385;;;;;;;;;;;0.004461837704120385
RHEINMETALL AG;RHM GR Equity;;;;;;0.005026509640990001;;;;0.023143930342314354;;0.002609613552451716;;0.03078005353575607
Pernod Ricard;RI FP Equity;;;;0.0033556543481958745;;;;;;;;;;0.0033556543481958745
Render Cube S.A.;RND PW Equity;;;;;;;;0.002514956846484356;;;;;;0.002514956846484356
CONSTRUCTION PARTNERS INC;ROAD US Equity;;;;;;0.010435676298151442;;;;;;;;0.010435676298151442
Roche Holding AG;ROG SW Equity;;;;0.005468331777452443;;;;;;;0.008797927355279695;;;0.01426625913273214
RYVU THERAPEUTICS S.A.;RVU PW Equity;0.01033148195595471;0.0007700635100105345;0.0016138217334360225;;0.00222178888255139;;0.0023337666890759262;;0.002325492002074633;0;;;0.008353567202710932;0.02794998197581415
RAWLPLUG S.A.;RWL PW Equity;;0.0012042538446935763;;;;;;;;;;;;0.0012042538446935763
SentinelOne Inc.;S US Equity;;;;;;;;0.003309148401973881;;;;;;0.003309148401973881
Banco Santander S.A.;SAN SM Equity;;;0.006057914177138712;;;0.0020351159293913423;;0.00059570091792270984;;;;;;0.008688731024452765
SAP SE;SAP GR Equity;;;;;;0.005797742729445043;;0.005969136891048173;;;;;;0.011766879620493218
PLN EQUIPMENT AG;SBO AV Equity;;;0.00020134047132195982;;;;;;;;;;;0.00020134047132195982
Starbucks Corp;SBUX US Equity;;;;0.005906445579840179;;;;;;;;;;0.005906445579840179
PLN K+S AG;SDF GR Equity;;;0.003672795838125448;;;;;;;;;;;0.003672795838125448
SELENA FM S.A.;SEL PW Equity;;0.000983546900446642;;;;;;;;;;;;0.000983546900446642
SWEETGREEN INC;SG US Equity;;;;;;0.0010716655151461929;;;;;;;;0.0010716655151461929
SHOPER S.A.;SHO PW Equity;0.009822123716047639;0.00029173330032102804;;0.006629354509597065;0.005743783146605069;0.006739090837687403;0.009246030532693292;0.008897386000516152;;0.005341194217097796;0.010747318524948295;0.010162492126166365;0.0025742033468548586;0.07619471025853497
SHOPIFY INC.;SHOP CN Equity;;;;;;0.005996584176259594;;;;;;;;0.005996584176259594
SIEMENS AG;SIE GR Equity;;;;0.005329811077939328;;0.0049621459785870425;;;;;;;;0.01029195705652637
SIKA AG;SIKA SW Equity;;;;0.004044025137656641;;;;;;;;;;0.004044025137656641
SNIEZKA SA;SKA PW Equity;;0.00012869052528750344;;;;;;;0.0021489491062867133;;;;;0.0022776396315742167
PLN SCHLUMBERGER LTD;SLB US Equity;;;0.00057127353975196436;;;;;;;;;;;0.00057127353975196436
SELVITA S.A.;SLV PW Equity;0.012715162312374189;0.0043449941094634126;0.000403126081984835;0.00267865555913527;0.0015715418763099917;0.0041818298334760406;0.0027801838192851597;0.00008319378571190009;0.0017572942904522373;;;;0.007512401162965988;0.03802838283115902
PLN SUPER MICRO COMPUTER INC;SMCI US Equity;;;0.011663900111450864;;;;;;;;;;;0.011663900111450864
SYNEKTIK S.A.;SNT PW Equity;;0.008279127465211932;;;0.008927784118462173;0.002610821760750342;;;;0.008117271043670471;;;;0.027935004388094917
SANTANDER BANK POLSKA S.A.;SPL PW Equity;0.03464562529406755;0.04314004231001359;0.032663224922546426;0.02112747570357889;0.03569327027051137;0.013239373561276448;0.04044972214002093;0.0277528328708151;0.0447002904962542;0.035120078857757338;0.021386026140957184;0.017357668701780433;0.0308322348004503;0.39810786607002974
SAIPEM SPA;SPM IM Equity;;;;;;;;;;;;0.007584725968184414;;0.007584725968184414
Scholar Rock Holding Corp.;SRRK US Equity;;;;;;;;0.006164564418231411;;;;;;0.006164564418231411
STALPROFIL S.A.;STF PW Equity;;0.00013771239833642543;;;;;;;;;;;;0.00013771239833642543
STALPRODUKT S.A.;STP PW Equity;;;;;0.00012163594405676567;0.00052554305910856976;;;;;;0.00255053044836844;;0.0031977094515337756
STALEXPORT AUTOSTRADY SA;STX PW Equity;;0.0000017314578423611028;;;;0.0000010753636488372594;;;0.0011881978374769749;;;;0.003243547092073222;0.004434551751041395
Schneider Electric SE;SU FP Equity;;;;;;;;0.007650509413285743;;;;;;0.007650509413285743
SYMBOTIC INC;SYM US Equity;;;;;;0.0015828759938380627;;;;;;;;0.0015828759938380627
AT&T Inc.;T US Equity;;;;;;;;0.0032152447395543904;;;;;;0.0032152447395543904
Tarsus Pharmaceuticals Inc.;TARS US Equity;;;;;;;;0.006472799939572315;;;;;;0.006472799939572315
BIO-TECHNE CORP;TECH US Equity;;;;0.0021151474363180367;;;;;;;;;;0.0021151474363180367
TEN SQUARE GAMES SA;TEN PW Equity;0.007463611057364695;;;0.0021153925676456178;0.0006609355930600576;;0.003701428785686132;;0.0019034036904202978;;0.006112269071074102;;;0.021957040765250904
The TJX Companies, Inc.;TJX US Equity;;;;;;;;;;0.007602007288368481;;;;0.007602007288368481
TALEX SA;TLX PW Equity;;;;;;;;;0.00026812768934885343;;;;;0.00026812768934885343
TOYA S.A.;TOA PW Equity;;0.0014014286684047184;;;;0.0022341253316610316;;;;;;;;0.00363555400006575
TOLL BROTHERS INC;TOL US Equity;;;;;;0.0024338246425573778;;;;;;;;0.0024338246425573778
TORPOL S.A.;TOR PW Equity;;;;;0.004644579292806166;;0.0022213633920295942;0.007403559762205233;0.007571432346358246;0.0018164914272059263;;0.006543742608596077;0.001682506042305991;0.031883674871507233
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;;0.006303738057411692;;0.0032832059356448695;0.01140138865967316;0.006360916876802449;0.009583352660765616;;0.011024122598450603;0.007861506063683613;0.01709967415670622;0.012235141768368833;0.007879069263367542;0.09303211604087458
TREX COMPANY INC;TREX US Equity;;;;;;0.0010266887567829251;;;;;;;;0.0010266887567829251
Tesla Inc.;TSLA US Equity;;;;0.0035248700546104644;;0.003329274435323568;;0.006222052590464994;;;;;;0.013076197080399026
PLN TALLINNA SADAM AS;TSM1T ET Equity;;;0.000013620871005644941;;;;;;;;;;;0.000013620871005644941
PLN TOTALENERGIES SE;TTE FP Equity;;;0.006757724001051412;;;;;;;;;;;0.006757724001051412
Take-Two Interactive Software Inc;TTWO US Equity;;;;0.005864144222449905;;;;;;;;;;0.005864144222449905
PLN AS TALLINNA VESI;TVE1T ET Equity;;;0.0001461837691377481;;;;;;;;;;;0.0001461837691377481
TEXT S.A.;TXT PW Equity;;0.005740906145028967;;;0.010381819593625219;0.003798716480318258;0.0024907671792740127;0.0032856409713642465;0.0044996878345664054;0.0011798793237349903;0.007080036301879614;;;0.038457453829791715
Ultimate Games S.A.;ULG PW Equity;0.00002387625966031443;0.00004555342583514626;;;;;;;;;;;;0.00006942968549546069
UnitedHealth Group Inc;UNH US Equity;;;;;;;;;;0.001521521596272179;;;;0.001521521596272179
UNIBEP SA;UNI PW Equity;;0.0021881751689563295;;;;;;;0.0011821510376005162;;;;;0.0033703262065568457
Unimot S.A.;UNT PW Equity;;0.0010036072114705437;;;;;;0.001825526096780589;;;;;;0.002829133308251133
Urteste S.A.;URT PW Equity;0.0018241941102478426;;;;;;;;;;;;;0.0018241941102478426
Visa Inc.;V US Equity;;;;;;0.009632439865508041;;0.003292491534614076;;;;;;0.012924931400122117
PLN VITA 34 AG;V3V GR Equity;;;0.000028511146042238685;;;;;;;;;;;0.000028511146042238685
VIGO PHOTONICS S.A.;VGO PW Equity;;0.0016478810976933994;;0.003912691300291414;0.0021073594724674571;0.006270512517815473;0.007618462611453108;;;0.0026715305573809667;;;;0.024228437557101823
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;;0.0006409448194831786;;;;;;;;;;;;0.0006409448194831786
VULCAN MATERIALS CO;VMC US Equity;;;;;;0.010520956596285826;;;;;;;;0.010520956596285826
Vonovia SE;VNA GR Equity;;;;;;;;;;;0.009312859284283593;;;0.009312859284283593
VOTUM S.A.;VOT PW Equity;;0.0010924344680070319;;;0.0015703795251071326;;;;;;;;;0.002662813993114165
VOXEL S.A.;VOX PW Equity;0.01194487981033186;0.005963140809091638;;;0.009699644674040192;;;;;0.015248820120676265;0.006374189881678282;;;0.04923067529581823
Vercom S.A.;VRC PW Equity;0.015574040503714055;;;;0.017643702008583686;;;0.005527398157240558;0.0001306809292527908;;0.00033594323399525665;;;0.039211764832786344
VRG S.A.;VRG PW Equity;;0.0000006619278177682118;;;;;0.0005458763924523853;;0.000009297212467841221;;;0.010947396390116422;;0.011503231922854416
Varonis Systems Inc.;VRNS US Equity;;;;;;;;0.002971142039212533;;;;;;0.002971142039212533
VERTIV HOLDINGS CO;VRT US Equity;;;;;;;;0.01134529998505845;;;;0.005158107119692781;;0.01650340710475123
Vestas Wind Systems A/S;VWS DC Equity;;;;;;;;;;0.010182059860206703;0.0020910321874208332;;;0.012273092047627536
WABTEC CORP;WAB US Equity;;;;;;0.006732598132190836;;;;;;;;0.006732598132190836
WASTE CONNECTIONS INC;WCN CN Equity;;;;;;0.005749794560680924;;;;;;;;0.005749794560680924
Wells Fargo & Co;WFC US Equity;;;;0.00276109695074834;;0.006140163424658925;;0.014684047167542427;;;;;;0.02358530754294969
WIZZ AIR HOLDINGS PLC;WIZZ LN Equity;;;;;;;;;;;0.006832470063897722;0.008024997933151824;;0.014857467997049545
WIELTON S.A.;WLT PW Equity;;0.0006515426030141971;;;;;0.0012204259852962673;;;;0.001309136628505635;0.0021606564980346088;;0.005341761714850708
WASTE MANAGEMENT INC;WM US Equity;;;;;;0.003596181432961512;;;;;;;;0.003596181432961512
Walmart Inc.;WMT US Equity;;;;0.003205501038626589;;0.005795911566248081;;0.007743780199271145;;;;;;0.016745192804145814
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;0.015147190171169205;0.003522926310465154;;0.009565296770362206;;0.007174919675382567;0.008159771499643911;;0.00700022712046561;0.0027294043849692334;0.012005778506899993;0.007974856361673351;0.014695947172707478;0.08797631797373871
WITTCHEN S.A.;WTN PW Equity;;0.0011670215087879118;0.00746331771415109;;0.0014209923917259903;;;;;;;0.0035142687025867664;0.003872040473380776;0.017437640790632534
PLN EXXON MOBIL CORP;XOM US Equity;;;0.008155690089403027;;;;;;;;;;;0.008155690089403027
XTB S.A.;XTB PW Equity;;0.02548419323028925;0.028439095937983763;0.01332487493270497;0.014605866048212706;0.01756425034157985;0.018345785177356082;0.0203080962733563;0.011396657665376704;0.033802049106876155;0.015294417999537104;0.009848205600537905;0.03368486771164537;0.24209836002545615
Xylem Inc.;XYL US Equity;;;;;;;;;;;0.0025927919612618217;;;0.0025927919612618217
Yara International ASA;YAR NO Equity;;;0.0039387602228703605;;;;;0.0009572403241950883;;;;;;0.004896000547065449
ŻABKA GROUP SA;ZAB PW Equity;;0.01297475661079875;;0.024309413840106733;0.0008998864416640825;0.016863984614487602;0.015472142436931275;0.019821554116100304;0.024397544606170025;0.03065445964514009;;0.022312843526551807;0.031737627522431344;0.19944421336038204
ZALANDO SE;ZAL GR Equity;;;0.00049868900001627636;0.007872347190581611;;;;;;;;0.006455615896486888;0.009704441229813837;0.024531093316898613
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;ZAP PW Equity;;0.00060549238439338834;;;;;;;;;;;;0.00060549238439338834
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;;0.0003833822339110747;;;;;;;;;;;;0.0003833822339110747
Zscaler Inc;ZS US Equity;;;;;;;;;;0.0048875380847123484;;;;0.0048875380847123484
ZUE S.A.;ZUE PW Equity;;0.0007526208857064137;;;;;;;;;;;;0.0007526208857064137
