COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
11 BIT STUDIOS S.A.;11B PW Equity;7096;641;0;840;224;-8;157;0;-27;967;11399;3653;0;1273;1946;28161;1.2925318761384338;2.50390625;;0.7526881720430107;0.03748953974895408;-0.007073386383731228;0.1984829329962072;;-0.10188679245283016;0.05597684515195378;0.63824188129899206;;;0.777167277167277;;0.5436801359152075
AB S.A.;ABE PW Equity;0;0;13030;0;108;0;2526;0;1230;804;0;0;5410.8;-4815;0;18293.8;;0;16.287500000000002;;0.0018425632101546352;;1.4214969048958918;;0.5152911604524508;0.0041003462854636297;;;0.54986829428909424;-0.1865266909428992;;0.0617277606193396
AC S.A.;ACG PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
ADVANCED MICRO DEVICES, INC.;AMD US Equity;0;0;0;2132;0;2580;0;21016;0;0;57835;10903;0;-2537;0;91929;;;0;;;;;;;;;6.180839002267574;;-0.31255389922385113;;9.301726196499038
AGCO CORP;AGCO US Equity;0;0;0;0;0;1505;0;0;0;0;0;0;0;0;0;1505;;;;;;;;;;;;;;;;
AILLERON S.A.;ALL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;0
AIR LIQUIDE SA;AI FP Equity;0;0;0;0;0;654;0;0;0;0;0;0;0;0;0;654;;;;;;19.818181818181818;;;;;;;;;;19.818181818181818
AKER HORIZONS AS;AKH NO Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-285;-285;;;;;;;;;;;;;;;-1;-1
ALBEMARLE CORP;ALB US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;3493;0;3493;;;;;;;;;;;;;;;;
ALFEN N.V.;ALFEN NA Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;6501;0;6501;;;;;;;;;;;;;;;;
ALIOR BANK S.A.;ALR PW Equity;-1463;8181;27000;32372;156704;25180;3105;910276.7;3763;510522;2305;40765;19050.4;-5087;76333;1809007.2;-0.006806930693069257;0.4348357606038056;0.45226130653266324;1.262952559300874;0.8397271358372676;0.551539843168178;0.18136682242990652;;0.51393062004916686;0.9366413726296014;0.1048585206077699;0.6701242766964755;5.469564942764694;-0.12465387537062899;1.2120004445785236;1.3799460715551152
ALLEGRO.EU SOCIETE ANONYME;ALE PW Equity;410093;70492;66100;171313;164204;39895;49827;1877416.1;34371;1437718;1509060;-272692;85433;134537;97528;5875295.1;0.27845485810510297;0.6858666251532428;0.3057354301572619;1.0481898223780415;0.31056950856693245;0.167806548219934;0.7947777263809357;;0.8202123851569026;0.6322332457209245;0.7786044495810461;-0.5669248776512363;0.6392202908615807;0.9467969063386279;0.3539329716390558;0.7279767636630898
ALPHABET INC.;GOOGL US Equity;0;0;2915;-1110;0;5683;0;87021.1;0;0;38746;0;0;1637;0;134892.1;;;0.83596214511041;-0.29187483565606097;;284.14999999999996;;;;;2.107364298923094;0;;0.3017511520737328;;2.631374090474611
ALUMETAL S.A.;AML PW Equity;0;-1853;0;0;-5167;-7149;-3540;0;0;0;0;0;0;-92;-33692;-51493;;-1;;;-1;-1;-1;;;;;;;-1;-1;-1
AMICA S.A.;AMC PW Equity;0;0;0;0;0;0;0;0;0;22601;0;0;7200;0;0;29801;;0;;;;;;;0;1.450641848523748;;0;1.0904972646807578;;;1.3039446901531952
AMREST HOLDINGS SE;EAT PW Equity;0;15116;0;0;290423;0;17832;0;-118;318113;0;71673;1454.8;-29362;0;685131.8;;1.6762031492570415;;0;4.562023845054272;;4.566453265044815;;-0.007055306427503738;0.6814030202420479;;1.1039863220479961;0.3217094206103495;-1;;0.9555187259597282
AMS AG;AMS Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;160871;0;160871;;;;;;;;;;;;;;;;
ANDRITZ AG;ANDR AV Equity;0;0;0;0;8621;0;0;0;0;0;0;0;0;0;0;8621;;;;;;;;;;;;;;;;
ANSWEAR.COM S.A.;ANR PW Equity;0;0;-30050;0;0;0;0;0;0;0;0;0;0;0;0;-30050;;0;-1;;;;;;;;;;;;;-0.7684046334415834
APATOR S.A.;APT PW Equity;0;0;0;0;39607;0;0;0;0;146401;0;0;0;0;0;186008;;0;;;;;;;;;;;;;;141.558599695586
APPLIED MATERIALS, INC.;AMAT US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;0;-4;;;;;;;;;;;;;;-0.2857142857142857;;-0.2857142857142857
ARCHICOM S.A.;ARH PW Equity;0;12602;0;0;0;0;0;0;0;0;1150323;119573;0;0;82284;1364782;;;;;;;;;;;;;;;1.8152217074784912;30.10769909552173
ARCTIC PAPER S.A.;ATC PW Equity;0;0;0;0;-25635;0;0;0;0;-62863;0;0;0;24105;-66921;-131314;;0;;;-0.43361694209983256;;;;;-0.08302439501137805;;;;0.6752100840336135;-1;-0.14005437327283799
ASBISC ENTERPRISES PLC;ASB PW Equity;0;0;1300;0;0;0;0;0;0;0;0;0;0;45432;0;46732;;0;0.00853018372703418;;;;;;0;;;;;;;0.25417303477121056
ASML Holding NV;ASML NA Equity;3769;0;0;-363;0;0;0;0;0;0;4953;0;0;61;0;8420;6.040064102564102;;;-0.44106925880923455;;;;;;;1.0377121307353865;;;0.13832199546485269;;1.2640744632937997
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;0;0;0;0;1321;0;0;0;3812;148657;0;0;0;0;-819;152971;;;;;0.03399382398353068;0;;;;;;;;;-1;3.74901355292503
