COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;Vienna Life_pct;TOTAL_pct
ANSWEAR.COM S.A.;ANR PW Equity;250000;0;310769;0;113425;0;0;0;0;384731;0;0;0;68619;0;0;1127544;;0;;;;;;;;;;;;;;;128.62696783025325
APATOR SA;APT PW Equity;0;-1300;0;0;-24114;0;0;0;0;0;0;0;0;0;0;0;-25414;;-1;;;-0.11871273919528969;;;;;0;;;;;;;-0.07869305250641734
APPLE INC.;AAPL US Equity;0;0;0;-6355;0;140;0;-23.6;0;0;-34953;0;0;0;0;0;-41191.6;;;;-1;;0.10108303249097483;;-0.01589054377979482;;;-1;;;;;;-0.9323973655761128
ARCHICOM S.A.;ARH PW Equity;0;-4191;0;0;-4750;0;0;0;0;0;178402;0;0;0;972;0;170433;;-0.19943846959170074;;;-0.02351636491457376;;;;;;0.15767708201679454;0;;;0.008407286314806139;;0.11225155814380837
ARCTIC PAPER S.A.;ATC PW Equity;0;-5105;0;0;-847;0;0;0;0;-40964;0;0;0;-10580;0;6723;-50773;;-0.17667416508046372;;;-0.021047138632805718;;;;;-0.06577719828700534;;;;-0.1747806981315977;;;-0.06747780553931215
ARLEN S.A.;ARL PW Equity;168901;0;44892;34741;117986;0;0;0;0;0;760494;0;0;0;0;0;1127014;;;;;;;;;;;;;;;;;
ARTIFEX MUNDI S.A.;ART PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;0
ASBISC ENTERPRISES PLC;ASB PW Equity;226817;-961;-143200;0;0;0;0;0;0;0;0;0;0;0;0;30281;112937;;-0.02355565360198053;-1;;;;;;;;;;;;;;0.6137980510551802
ASML Holding NV;ASML NA Equity;-5155;0;0;-236;0;-404;0;6146.1;0;0;-8189;0;0;58;0;0;-7779.9;-0.7764723602952252;;;-0.2779740871613663;;-1;;32.047658775680466;;;-1;;;0.08923076923076923;;;-0.4597294297981773
ASSECO BUSINESS SOLUTIONS S.A.;ABS PW Equity;0;0;0;0;-1345;0;0;0;0;-12500;0;0;0;0;0;0;-13845;;;;;-0.033473532266494077;0;;;;-0.08906178750569993;;;;;;;-0.07621506465481653
ASSECO POLAND S.A.;ACP PW Equity;137448;-5776;0;-30165;-10166;-40655;-841;244058;10592;105520;0;0;1961.6;0;-3361;8632;417247.6;;-0.3001922976976249;;-0.7006805881396483;-0.06437029063509147;-0.9002037110845401;-0.076705581904414455;15.74434483279155;1.8472270666201604;0.32638012520723535;;;0.0950961689956491;;-0.0837152535618213;;0.6121023926395539
ASSECO SOUTH EASTERN EUROPE S.A.;ASE PW Equity;0;700;0;-1859;-997;3859;0;0;-5859;0;20532;0;0;0;34000;38200;88576;;0.14909478168264112;;-0.10420987723527109;-0.017441046812679328;0.2919062027231467;;;-0.4310941063939372;0;0.0899681877535996;0;;;0.6002930842705556;;0.1926046729073572
ASTARTA HOLDING N.V.;AST PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;0
ASTRAZENECA PLC;AZN LN Equity;0;0;0;0;0;0;0;0;0;0;-47400;0;0;0;0;0;-47400;;;;;;;;;;;-1;;;;;;-1
AT&T Inc.;T US Equity;0;0;0;0;0;0;0;-56745.6;0;0;0;0;0;0;0;0;-56745.6;;;;;;;;-1;;;;;;;;;-1
ATAL S.A.;1AT PW Equity;-14964;0;-26949;0;-85753;0;-247;0;0;0;0;0;0;-757;35623;0;-93047;-1;0;-1;;-0.7955487934985295;;-0.09320754716981128;;;;;0;;-0.022523728763128914;0.7863276162726531;;-0.34304812045598666
ATENDE S.A.;ATD PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;0
AUTO PARTNER S.A.;APR PW Equity;-152261;-9036;0;-31260;388352;-2341;5969;0;-15666;41635;236949;0;-2917.7;0;190000;288;649711.3;-1;-0.1642998709020492;0;-0.16821011735964998;;-0.02263716711470398;0.18410906511211866;;-1;0.08057337043817526;0.25414795452668425;;-0.05121484093121986;;;;0.3109962510165898
AUTODESK INC;ADSK US Equity;0;0;0;0;0;-277;0;0;0;0;0;0;0;0;0;0;-277;;;;;;-1;;;;;;;;;;;-1
Abbott Laboratories;ABT US Equity;0;0;0;-3882;0;0;0;0;0;0;0;0;0;0;0;0;-3882;;;;-1;;;;;;;;;;;;;-1
Accenture PLC;ACN US Equity;0;0;0;-1232;0;0;0;0;0;0;0;0;0;0;0;0;-1232;;;;-1;;;;;;;;;;;;;-1
Adidas AG;ADS GR Equity;-7670;0;0;0;0;0;0;0;0;0;-30275;0;0;0;0;0;-37945;-1;;;;;;;;;;-1;;;;;;-1
Adobe Inc;ADBE US Equity;0;0;0;0;0;0;0;-13554.9;0;0;-13887;0;0;500;0;0;-26941.9;;;;0;;;;-1;;;-1;;;0.5192107995846313;;;-0.9126382240119888
Agora S.A.;AGO PW Equity;0;0;0;0;146382;0;28479;0;0;-10805;-6499;0;0;0;0;0;157557;;;;;;;0.9370866374913626;;;-1;-0.006994760656274135;;;;;;0.16237632945832292
Aixtron SE;AIXA GR Equity;0;0;0;0;0;0;0;0;0;0;0;50187;0;0;0;0;50187;;;;;;;;;;;;0.570903672020749;;;;;0.570903672020749
Analog Devices, Inc.;ADI US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;0
Anglo American Plc.;AAL LN Equity;0;0;0;0;0;0;0;0;0;0;-37018;0;0;0;0;0;-37018;;;;;;;;;;;-0.12697835557232528;;;;;;-0.12697835557232528
Applied Materials Inc.;AMAT US Equity;0;0;0;0;0;0;0;-9014.5;0;0;0;0;0;0;0;0;-9014.5;;;;;;;;-0.939939773985615;;;;;;;;;-0.939939773985615
Arcelormittal SA;MT NA Equity;0;0;0;0;0;0;0;-34271.5;0;0;0;0;0;0;0;0;-34271.5;;;;;;;;-1;;;;;;;;;-1
Axon Enterprise Inc;AXON US Equity;0;0;0;0;0;0;0;0;0;0;17914;0;0;0;0;0;17914;;;;;;;;;;;;;;;;;
Axsome Therapeutics Inc.;AXSM US Equity;0;0;0;0;0;0;0;-26755.7;0;0;0;0;0;0;0;0;-26755.7;;;;;;;;-1;;;;;;;;;-1
BABCOCK INTERNATIONAL GROUP PLC;BAB LN Equity;0;0;0;0;0;20506;0;0;0;0;0;0;0;0;0;0;20506;;;;;;;;;;;;;;;;;
BAE Systems PLC;BA/ LN Equity;0;0;0;0;0;0;0;0;0;0;-321394;0;0;0;0;0;-321394;;;;;;;;;;;-0.721067037602082;;;;;;-0.721067037602082
BANCA TRANSILVANIA SA;TLV RO Equity;0;0;0;0;164325;0;0;0;0;0;0;0;0;0;0;0;164325;;;;;;;;;;;;;;;;;
BANCO SANTANDER SA;SAN SM Equity;0;0;-26800;0;0;39768;0;369554.3;0;0;0;0;0;0;0;0;382522.3;;;-0.39821693907875186;;;1.706927633273242;;7.132477433226088;;;;;;;;;2.686046784340244
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;0;-6349;0;0;-52075;0;0;0;13930;-11800;0;0;1290.2;0;0;60;-54943.8;;-0.3962181727408887;;0;-1;;;;2.9606801275239104;-0.038858866572483275;;;0.049077316029007;;;;-0.13409347805687066
BANK MILLENNIUM S.A.;MIL PW Equity;-796066;14200;0;71311;-481370;-135230;0;512600.6;-37723;-436732;3704227;-24019;-20158.7;-446529;-50632;125000;1998878.9;-1;0.05353399785863999;;;-0.3987088779960938;-0.23863556151619957;;0.25715479122773633;-0.4299701370050379;-0.07608567451968229;;-0.4122159675979955;-0.10039279740447826;-1;-0.13431770732470817;;0.17027729130097423
