COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;UNIQA TFI S.A.;TOTAL
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;0.017420063985285643;0.00984856316851755;;0.011146347382464197;0.0039904088344778677;;0.003831196100969468;0.011444765771500685;0.013909647181082845;0.008056985463112539;0.010151034543258644;0.08979901243066942
PARKER HANNIFIN CORP;PH US Equity;;;;;;;0.0004856427963157624;;;;;0.0004856427963157624
PULTEGROUP INC;PHM US Equity;;;;;;;0.00039282835514077435;;;;;0.00039282835514077435
ORLEN S.A.;PKN PW Equity;0.07965902684083502;0.0755635822921457;;0.05836515627694473;0.09670138574997903;0.07020620724075951;0.07259738204946159;0.09711235520608469;0.11799471408125987;0.07703728636452037;0.04277129338632432;0.7880083894883148
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;0.11222794117614221;0.10743464241490235;0.05271388914158633;0.08276683382073104;0.10323977333675625;0.09971185148210093;0.09659252214339087;0.09657430546526857;0.11830872373194442;0.11098435690537553;0.06777323990800843;1.048328079526207
PKP CARGO SA;PKP PW Equity;;;;;;;;;0.0009776748821783418;;;0.0009776748821783418
PLAYWAY S.A.;PLW PW Equity;0.0008017804896530659;0.003401530424080463;;;0.003600052266062648;0.0009212232274693227;;;0.00017242899695473445;;;0.008897015404220234
POLTREG S.A.;PTG PW Equity;0.000019585221375647338;0.0003367778770720913;;;;;;;;;;0.0003563630984477387
QUANTA SERVICES INC;PWR US Equity;;;;;;;0.004705065663266709;;;;;0.004705065663266709
POLIMEX-MOSTOSTAL S.A.;PXM PW Equity;0.0003648438803556346;;;0.003897863148238854;;;;0.0009712175414265747;;;;0.005233924570021063
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;0.04690081493757176;0.05250569701046741;0.002664462947341482;0.04173026106956935;0.05206689229328042;0.0416967304998134;0.04692723949290078;0.04771218207591079;0.06164721765605273;0.04314493688368739;0.02658436480591781;0.46358079967251335
QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.;QRS PW Equity;0.0021566519874196638;;;;;;0.002604261156097941;;;;;0.004760913143517605
RAINBOW TOURS S.A.;RBW PW Equity;0.004969581550434202;0.006715517866111916;;0.007434042852360099;0.00699953468257652;0.00728180713818443;0.005835857001954975;0.005937673489839707;0.002609205997166473;0.009692748650309412;0.0038874692814641304;0.06136343851040188
PLN READLY INTERNATIONAL AB;READ SS Equity;;;0;;;;;;;;;0
Rheinmetall AG;RHM GR Equity;;;;;;;0.0025833189629518594;0.0049479274078948293;;0.005600081373011478;;0.013131327743858168
ROCKET LAB CORP;RKLB US Equity;;;;;;;0.0008206269650133503;;;;;0.0008206269650133503
RALPH LAUREN CORP;RL US Equity;;;;;;;0.0004891973416534338;;;;;0.0004891973416534338
CONSTRUCTION PARTNERS INC;ROAD US Equity;;;;;;;0.003656909646148093;;;;;0.003656909646148093
RYVU THERAPEUTICS S.A.;RVU PW Equity;;0.00005679217792842345;0.00009287763272785864;;;0.0003164772827850264;;;0.0005119655184712962;;0.0016575017397546155;0.0026356143516672204
RAWLPLUG S.A.;RWL PW Equity;;0.00057903284869975015;;;;;;;;;;0.00057903284869975015
SAAB AB;SAABB SS Equity;;;;;;;0.0009701948407581605;;;;;0.0009701948407581605
SAFRAN SA;SAF FP Equity;;;;;;;;0.005742447076430339;;;;0.005742447076430339
BANCO SANTANDER SA;SAN SM Equity;;;0.0044350964219887984;;;;0.005536824586833378;;;;;0.009971921008822175
SAP SE;SAP GR Equity;;;;;;;0.00056705145380733825;;;;;0.00056705145380733825
SCANWAY S.A.;SCW PW Equity;;;;;;0.00050149454865013585;;;;0.003662305777942408;0.002907444181717911;0.007071244508310455
PLN K+S AG;SDF GR Equity;;;0.0003232242444484632;;;;;;;;;0.0003232242444484632
SELENA FM S.A.;SEL PW Equity;;0.0008953373752975184;;;;;;;;;;0.0008953373752975184
SHOPER S.A.;SHO PW Equity;0.0011640708532569527;0.003209449267931489;;0.012564012481784055;0.008426648837784166;0.0017920384181111026;0.0048020528211684216;;;0.0047754904132434;0.002356716559478197;0.039090479652757786
SHOPIFY INC.;SHOP CN Equity;;;;;;;0.0011139432527564465;;;;;0.0011139432527564465
SIEMENS AG;SIE GR Equity;;;;;;;0.003963768316257217;;;;;0.003963768316257217
SNIEZKA SA;SKA PW Equity;;;;;;;;;0.001223215030353603;;;0.001223215030353603
SLB LTD;SLB US Equity;;;;;;;0.0006172341796662143;;;;;0.0006172341796662143
SELVITA S.A.;SLV PW Equity;0.0042934734141673064;0.0013771496992392548;0.000033538207675621197;0.0033498895580679316;0.0026241406980243687;0.0005223635485831651;0.0003237155797321393;;0.0005188666094880296;0.0019833272363426746;0.0018240612618479146;0.016850525813168402
PLN SUPER MICRO COMPUTER INC;SMCI US Equity;;;0.001207253958325873;;;;;;;;;0.001207253958325873
SYNEKTIK S.A.;SNT PW Equity;;0.000351208331833521;;;;0.002776870446053739;0.002891595425814449;;0.0010958823116369852;;0.0021912899743395758;0.009306846489678271
ERSTE BANK POLSKA S.A.;SPL PW Equity;0.0504753809504964;0.03530538689647645;0.04046509332575981;0.03327606200270694;0.026514258184509383;0.0413323559389763;0.032696854293283666;0.035618234380527904;0.039625051001699467;0.03270577530263403;0.015897557337853818;0.38391200961492416
STALPRODUKT S.A.;STP PW Equity;;;;;;0.00009917336041456287;0.0001909610936605478;;;;;0.00029013445407511065
STRABAG SE;STR AV Equity;;;;;;0.006489574775781582;;;;;;0.006489574775781582
STALEXPORT AUTOSTRADY SA;STX PW Equity;;0.0000006017385410280641;;;;;;;0.000636684538471359;0.004113036985873957;0.0005797425046589434;0.005330065767545288
SEAGATE TECHNOLOGY HOLDINGS PLC;STX US Equity;;;;;;;0.000547575583716302;;;;;0.000547575583716302
SCHNEIDER ELECTRIC SE;SU FP Equity;;;;0.008028847785523324;;;;0.005869802076548706;;;;0.01389864986207203
SYMBOTIC INC;SYM US Equity;;;;;;;0.0003405662819909987;;;;;0.0003405662819909987
TELEDYNE TECHNOLOGIES INC;TDY US Equity;;;;;;;0.00048592949787893955;;;;;0.00048592949787893955
TEN SQUARE GAMES S.A.;TEN PW Equity;;;;;;0.0007819460397741017;0.000580431726497897;;0.0011700994473781111;;;0.00253247721365011
THYSSENKRUPP AG;TKA GR Equity;;;;;;0.0020142961566833203;;;;;;0.0020142961566833203
TIMKEN CO/THE;TKR US Equity;;;;;;;0.0004272915725321389;;;;;0.0004272915725321389
BANCA TRANSILVANIA SA;TLV RO Equity;;;;;;0.002547023087621802;;;;;;0.002547023087621802
TALEX SA;TLX PW Equity;;;;;;;;;0.0001413621078475439;;;0.0001413621078475439
TOYA S.A.;TOA PW Equity;;0.001840040232156611;;;;0.003170808987344088;0.0013605109918342845;;;;;0.006371360211334983
TOLL BROTHERS INC;TOL US Equity;;;;;;;0.0004174957875887185;;;;;0.0004174957875887185
TORPOL S.A.;TOR PW Equity;;0.0012460602498798304;;;;0.005398258083892007;0.0025290094343407993;;0.005159758826211893;;0.0012064805518273115;0.01553956714615184
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;0.014449450318507;0.012787764438638447;;;0.011698935639195722;0.001414054626196892;0.010923211788135208;0.013302511049180727;0.01587931623833433;0.013761213331864763;0.009299457250998471;0.10351591468105156
TECNICAS REUNID AS SA;TRE SM Equity;;;;;;;;;;;0.005540864061537335;0.005540864061537335
TESLA INC;TSLA US Equity;;;;;;;0.0004095249335067006;;;;;0.0004095249335067006
PLN TOTALENERGIES SE;TTE FP Equity;;;0.0007398080382479076;;;;;;;;;0.0007398080382479076
TTM TECHNOLOGIES INC;TTMI US Equity;;;;;;;0.0006813505741352209;;;;;0.0006813505741352209
Take-Two Interactive Software Inc;TTWO US Equity;;;;;0.007191494641885534;;;;;;;0.007191494641885534
LIVECHAT SOFTWARE SA;TXT PW Equity;;;;;;;;;0.001449099678280751;;;0.001449099678280751
UBER TECHNOLOGIES INC;UBER US Equity;;;;;;;0.00027685196397761572;;;;;0.00027685196397761572
UNICREDIT SPA;UCG IM Equity;;;;;;0.003175676052295729;;;;;;0.003175676052295729
UNIBEP SA;UNI PW Equity;0.004149586800579895;;;;;;;;0.001636383283885398;;;0.005785970084465293
UNIMOT S.A.;UNT PW Equity;;0.0009460164470682464;;;;;;;;;;0.0009460164470682464
Urteste S.A.;URT PW Equity;0.0004704175718187247;;;;;;;;;;;0.0004704175718187247
VISA INC.;V US Equity;;;;;;;0.001999910659989835;;;;;0.001999910659989835
VIGO PHOTONICS S.A.;VGO PW Equity;;;;;0.0032645971095685233;0.001268966903733128;0.002921886678886865;;;;;0.007455450692188517
VALERO ENERGY CORP;VLO US Equity;;;;;;;0.0012628728644045378;;;;;0.0012628728644045378
VULCAN MATERIALS CO;VMC US Equity;;;;;;;0.0036656631240188453;;;;;0.0036656631240188453
VOESTALPINE AG;VOE AV Equity;;;;;;0.003766676939200478;;;;;;0.003766676939200478
VOTUM S.A.;VOT PW Equity;;0.0009384151383912759;;;;0.0009704960840298803;;;;;;0.0019089112224211563
VOXEL S.A.;VOX PW Equity;0.0014564339469581272;0.002628995838051927;;;;0.004676439225330452;;;0.00023091162810948557;0.006105073762316506;;0.015097854400766497
VERCOM S.A;VRC PW Equity;0.010460902637769647;0.00968929572424371;0.01672045107787583;0.008444099479756045;0.0028837488608926937;0.009606465038523934;0.0048365749999691765;0.00785058372148725;0.0016930154291681532;0.009009715689824677;0.005284533089888429;0.08647938574939953
VRG S.A.;VRG PW Equity;0.005513262363104904;0.0010554343232321282;;0.005798981598055921;;;;;;;;0.012367678284392953
VANGUARD FUND S PLC SUB-FUND VAN GUARD S&P 500 UCITS ETF;VUSA LN Equity;;;;;;;;;;;0.20774609222359988;0.20774609222359988
WABTEC CORP;WAB US Equity;;;;;;;0.002908371793605031;;;;;0.002908371793605031
WASTE CONNECTIONS INC;WCN CN Equity;;;;;;;0.001451109233003944;;;;;0.001451109233003944
WELLS FARGO & CO;WFC US Equity;;;;;;;0.0006874072515334445;;;;;0.0006874072515334445
WIZZ AIR HOLDINGS PLC;WIZZ LN Equity;;;;0.006157716109262514;;;;;;;;0.006157716109262514
PLN WIELTON S.A.;WLT PW Equity;;0.00044244779480616815;0.01502331458149446;;;;;;;;;0.01546576237630063
WASTE MANAGEMENT INC;WM US Equity;;;;;;;0.001325061744051895;;;;;0.001325061744051895
WILLIAMS COS INC;WMB US Equity;;;;;;;0.0004256666453378557;;;;;0.0004256666453378557
WALMART INC;WMT US Equity;;;;;;;0.0019499430030537834;;;;;0.0019499430030537834
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;;0.0019065303610361287;0.006222991864474271;;0.0043210510626827553;;0.0016816847328954876;0.0032645807745075966;0.002339770736572086;;0.000653041036380251;0.02038965056854858
WITTCHEN S.A;WTN PW Equity;;0.0003896930982046629;;;;;;;;;0.00028063328404918642;0.0006703263822538494
XTRACKERS DAX UCITS ETF;XDAX GR Equity;;;;;;;;;;;0.009354891646628007;0.009354891646628007
EXXONMOBIL CORP;XOM US Equity;;;0.00193565643259216;;;;0.0006655996697432197;;;;;0.00260125610233538
XTB S.A.;XTB PW Equity;0.011808927829381475;0.026121488951267215;0.04228145540831041;0.005834310433038964;0.0191330052069527;0.013971431804970962;0.024187889182069497;0.022538595399090124;0.011469969839510692;0.02455192107249228;0.01125493386706038;0.2131539289941447
PLN YARA INTERNATIONAL ASA;YAR NO Equity;;;0.0004119182494339428;;;;;;;;;0.0004119182494339428
ZABKA GROUP SA;ZAB PW Equity;0.007033692938266495;0.022561671059284025;0.0778501532493944;;0.017818237111254187;0.010268526810928236;0.02616634023176553;0.023764653837318632;0.024815581772681656;0.006495016238675414;0.019288906301012974;0.23606277955058154
Zalando SE;ZAL GR Equity;;;;;0.0027543220478767005;;;;;;;0.0027543220478767005
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;ZAP PW Equity;;0.0004309162242234091;;;;;;;;;;0.0004309162242234091
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;;0.0002842015241384028;;;;;;;;;;0.0002842015241384028
ZSCALER INC;ZS US Equity;;;;;;;0.0003531398538439762;;;;;0.0003531398538439762
ZUE S.A.;ZUE PW Equity;;0.0006632358848604414;;;;;;;;;;0.0006632358848604414
