COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;UNIQA TFI S.A.;TOTAL
CITIGROUP INC.;C US Equity;;;;;;;0.0019998977322562214;;0.005663263619389425;;;0.007663161351645646
INTER CARS S.A.;CAR PW Equity;0.018740194372619472;0.017534354200424869;;0.016989417971557712;0.014375459931639312;0.018830718073299562;0.014315028201636957;0.009599214676128558;0.011147321663492542;0.008441268586122402;0.006550167107789057;0.13652314478471045
CATERPILLAR INC;CAT US Equity;;;;;;;0.0042161038081471264;;;;;0.0042161038081471264
CYBER_FOLKS S.A.;CBF PW Equity;;0.009529678141547747;0.018567658777356004;0.007758606091933016;0.013664294645081827;0.010681951819975006;0.006186604541073406;0.002170353163224067;0.0019306155853689017;0.011491966349195737;0.006276694145379248;0.08825842326013495
COMMERZBANK AG;CBK GR Equity;;;;;;;0.002794821866220362;;;;;0.002794821866220362
COEUR MINING INC;CDE US Equity;;;;;;;0.00030065228066356583;;;;;0.00030065228066356583
CD PROJEKT S.A.;CDR PW Equity;0.018145559435737308;0.030990115127142044;0.0003786653485489004;0.022139722103178046;0.019890964549801062;0.025036178913038705;0.022260059306763877;0.027121788293852913;0.023525190647951595;0.02154796143574504;0.011504817437675858;0.22254102259943537
CONSTELLATION ENERGY CORP;CEG US Equity;;;;;;;0.00043241126284622;;;;;0.00043241126284622
CITIZENS FINANCIAL GROUP;CFG US Equity;;;;;;;0.00055845050951308185;;;;;0.00055845050951308185
CHEMRING GROUP PLC;CHG LN Equity;;;;;;;0.0011273167195766638;;;;;0.0011273167195766638
CIENA CORP;CIEN US Equity;;;;;;;0.0009363062748060523;;;;;0.0009363062748060523
PLN CIRCA GROUP AS;CIRCA Equity;;;0;;;;;;;;;0
CLEAN HARBORS INC.;CLH US Equity;;;;;;;0.0027104169670614103;;;;;0.0027104169670614103
CELON PHARMA S.A.;CLN PW Equity;0.002575362484932696;0.0003643829182048427;;;;0.0010010580854631565;;;;;;0.003940803488600695
CELESTICA INC;CLS CN Equity;;;;;;;0.0003819543698537151;;;;;0.0003819543698537151
COMP S.A.;CMP PW Equity;0.003448876967438377;0.0030417037982225364;;;0.0030380601842246674;0.00381553404151545;0.0011707909606006216;;;0.000062199050506313225;;0.014577165002507966
COGNOR HOLDING S.A.;COG PW Equity;;;0.00485991652461058;0.0024796151516195594;;0.002673337838349577;;;;;;0.010012869514579716
COHERENT CORP;COHR US Equity;;;0.025188225169358085;;;;0.0007223811657030677;;;;;0.025910606335061153
CONOCOPHILLIPS;COP US Equity;;;;;;;0.0014338745291762725;;;;;0.0014338745291762725
CYFROWY POLSAT S.A.;CPS PW Equity;0.010409279734675285;0.009324508791380628;;0.00507519686662874;0.005245612868848277;;0.0029361608633163655;0.005384026846462947;0.00751046392931603;;0.0031381750134283154;0.04902342491405659
CRH PLC;CRH US Equity;;;;;;;0.00052712213072154894;;;;;0.00052712213072154894
CREOTECH INSTRUMENTS S.A.;CRI PW Equity;0.0015147763903676498;;;;;0.011738565934198844;;0.009142175829388625;0.00030212824291710367;0.02438589619755297;;0.0470835425944252
CREEPY JAR S.A.;CRJ PW Equity;0.0019154617055705234;0.00050441864031509714;0.0020512727170055411;;;0.0003951234148443006;;;;;0.0023986483767071426;0.007264924854442605
SALESFORCE, INC.;CRM US Equity;;;;0.007603666551656345;;;0.0010404697099775079;;;;;0.008644136261633852
CROWDSTRIKE HOLDINGS INC;CRWD US Equity;;;;;;;0.0015894279284839025;;;;;0.0015894279284839025
CAPSTONE COPPER CORP;CS CN Equity;;;;0.008995370914191629;;;;;;;;0.008995370914191629
Cisco Systems Inc.;CSCO US Equity;;;;;;;;0.004846124580021277;;;;0.004846124580021277
CSG NV;CSG NA Equity;;;;;0.006878887957603503;;;;;0.006932579866871362;;0.013811467824474866
ISHARES CORE S& P 500 UCITS ETF;CSPX LN Equity;;;;;;;;;;;0.04749103876794231;0.04749103876794231
CTP NV;CTPNV NA Equity;;;;;;0.00565446714956813;;;;;;0.00565446714956813
CAPTOR THERAPEUTICS S.A.;CTX PW Equity;0.0040156452211409877;;;;;0.00023658426353553072;;0.008041520115789723;;;0.00032374540428161395;0.012617495004747856
CHEVRON CORP;CVX US Equity;;;;;;;0.0011265602932586903;;;;;0.0011265602932586903
PLN DATAWALK S.A.;DAT PW Equity;;;0.0048029244576974506;;;;;;;;;0.0048029244576974506
DATADOG INC;DDOG US Equity;;;;;;;0.001801391373712293;;;;;0.001801391373712293
DEKPOL S.A.;DEK PW Equity;;0.001244333164317882;;;;;;;;;;0.001244333164317882
VINCI SA;DG FP Equity;;;;;;;0.0035434633629346285;;;;;0.0035434633629346285
DIAGNOSTYKA S.A.;DIA PW Equity;0.0005637849489879456;0.008423794720019189;;0.007416498197598418;0.011533674104461258;0.004160356268579268;0.009779418022261572;;0.00388793124583585;0.016866623692710858;0.004893136807551751;0.067525218008006105
DIGITAL NETWORK S.A.;DIG PW Equity;;;;;;0.004338489257610909;;;;;;0.004338489257610909
DIGI COMMUNICATIONS NV;DIGI RO Equity;;;;;;0.00509205000608227;;;;;;0.00509205000608227
DINO POLSKA S.A.;DNP PW Equity;0.0000020184187326649676;0.027217889165287565;0.020315668473952386;0.018845592433675975;0.029106943155664315;;0.015303937236413923;0.026911874168529075;0.02273265917239771;0.020735579422238453;0.003156026659308516;0.18432818830620057
DO & CO AG;DOC AV Equity;;;;;;0.0032696778764321466;;;;;;0.0032696778764321466
DOM DEVELOPMENT S.A.;DOM PW Equity;0.008466597170769421;0.007112516048882616;;0.007132514237897536;0.0019751662868352163;0.00579256728961466;0.009941078305086327;0.0032141828717858856;0.004608193178813596;0.005709256546815722;0.0041734436702457917;0.05812551560674677
DEVELIA S.A.;DVL PW Equity;0.005296069520265024;0.007999158523097735;;0.004350075083800079;;0.009894395042247403;0.0034253996044976803;0.01391183882954494;0.005700053941167464;;0.005211310324054378;0.055788300868674705
ESOTIQ & HENDERSON S.A.;EAH PW Equity;;0.0008462947704018466;;;;;;;;;;0.0008462947704018466
AMREST HOLDINGS SE;EAT PW Equity;;0.0000031241363432317595;;;0.0013154560840787413;;;;0.001248718797348728;;;0.002567299017770701
PLN ERSTE GROUP BANK AG;EBS AV Equity;;;0.012861654524143566;;;;;;;;;0.012861654524143566
ECHO INVESTMENT S.A.;ECH PW Equity;0.000003156285966064353;0.0003593341627922686;;0.004269143566104111;0.003085686932507497;;;0.0045711118957444247;0.001878414506875205;;0.001715949860711216;0.015882797210700788
ENEA S.A.;ENA PW Equity;0.009142732045129921;0.008600756795536507;;;;0.0024514139545918048;0.0034251994298287936;0.006668937915556377;0.008028401987538073;;0.0011352542847411337;0.03945269641292261
SIEMENS ENERGY AG;ENR GR Equity;;;;;;0.012091963275808246;;;;;;0.012091963275808246
ENTER AIR S.A.;ENT PW Equity;0.002868040865320947;0.002544178650874608;0.013296791949734137;0.0048022728584912927;0.008893952299327127;;0.001721358510940115;;;;;0.034126595134688227
EOG RESOURCES INC;EOG US Equity;;;;;;;0.0008791788593709858;;;;;0.0008791788593709858
ERBUD S.A.;ERB PW Equity;;;;;;;0.00028010807703086813;;;;;0.00028010807703086813
EUROCASH S.A.;EUR PW Equity;;0.0000011079467100338928;;;;0.0021702277793540625;;;0.0007190030789171874;;;0.002890338804981284
FABRITY S.A.;FAB PW Equity;;0.0002822143857901204;;;;;;;;;;0.0002822143857901204
FREEPORT-MCMORAN INC;FCX US Equity;;;;;;;0.003475739258678474;0.011882384963701067;;;;0.015358124222379541
FEERUM S.A.;FEE PW Equity;;0.0012052814600274851;;;;;;;;;;0.0012052814600274851
FRESNILLO PLC;FRES LN Equity;;;;;;;0.00021629115795706148;;;;;0.00021629115795706148
FERRO S.A.;FRO PW Equity;;0.0010413686277229794;;;0.0027800389460789704;0.0003201304056692896;0.002511345635778259;;0.0006589292717728676;;0.0029160949726181357;0.010227907859640502
FEDERAL SIGNAL CORPORATION;FSS US Equity;;;;;;;0.0033513667149376647;;;;;0.0033513667149376647
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;;0.00013610431795211018;;;;0.00023461851970091853;;;;;;0.00037072283765302874
GE VERNOVA INC;GEV US Equity;;;;;;;0.000681808978573017;;;;;0.000681808978573017
SOCIETE GENERALE PARIS;GLE FP Equity;;;;;;0.004081449640481565;0.0008270481155785522;;;;;0.0049084977560601173
GENERAC HOLDINGS INC;GNRC US Equity;;;;;;;0.00058152812142958435;;;;;0.00058152812142958435
ALPHABET INC.;GOOGL US Equity;;;0.017730620943870985;0.010335295977512458;;;0.008746190339733362;;;;;0.0368121072611168
GRUPA PRACUJ S.A.;GPP PW Equity;;0.001839037715339016;;0.005402873195974941;0.003314642004721892;;0.002462611842094686;;0.0017551976702406116;;0.009043139671143307;0.023817502099514454
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;;0.002017820769561929;;;;-0.0171841470006866;0.001678393290877096;;0.002908634991439771;0;0.15358854732771793;0.14300924937891011
GRODNO S.A.;GRN PW Equity;;;;0.005683873620308336;;;;;;;;0.005683873620308336
GREENEX METALS LTD;GRX AU Equity;;0.0005762266392622121;;;;;;;;;;0.0005762266392622121
GLOBE TRADE CENTRE SA;GTC PW Equity;;;;;;;;;0.000023532358212057015;;;0.000023532358212057015
HENSOLDT AG;HAG GR Equity;;;;;;;0.000637204108063544;;;;;0.000637204108063544
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;;;;;;;;;0.00026164041206537394;;;0.00026164041206537394
HEIDELBERG MATERIALS AG;HEI GR Equity;;;;;;;0.0007001444207772675;;;;;0.0007001444207772675
HUUUGE INC;HUG PW Equity;;;;;;0.0008831269992905776;;;0.0004813731804303651;;;0.0013645001797209427
MEDINICE S.A.;ICE PW Equity;;;;;;0.0007380592474225142;;;;;;0.0007380592474225142
INDRA SISTEMAS SA;IDR SM Equity;;;;;;;0.0005351254067386608;;;;;0.0005351254067386608
INFINEON TECHNOLOGIES AG;IFX GR Equity;;;;;;0.002941050996873621;;;;;;0.002941050996873621
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;;0.00026842930360970973;;;;;;;;;;0.00026842930360970973
IMS S.A.;IMS PW Equity;;0.0005171903923556116;;;;;;;;;;0.0005171903923556116
ING BANK ŚLĄSKI S.A.;ING PW Equity;0.02021478150666921;0.015098238333669396;0.000037630290876294477;;0.009311462006310797;0.019098070258914845;0.01894695820451688;0.019821200872979843;0.02095586749484897;;0.0067132028509332;0.13019741181971945
ING GROEP NV;INGA NA Equity;;;0.0027896293734963773;;;;0.003100495818984951;;;;;0.005890125192481328
INSTAL KRAKÓW S.A.;INK PW Equity;;0.0004255194625931055;;;;;;;;;;0.0004255194625931055
INTROL S.A.;INL PW Equity;;0.00060757316606141906;;;;;;;;;;0.00060757316606141906
INPOST S.A.;INPST NA Equity;;0.01070406456905719;;;0.02327680559718217;0.00271103596902719;0.008295825156726078;;;0.014313000475582378;0.007745086044700765;0.06704581781227577
INTEL CORP;INTC US Equity;;;;;;;0.0006464534910596781;;;;;0.0006464534910596781
INGERSOLL-RAND INC;IR US Equity;;;;;;;0.0009109200364289567;;;;;0.0009109200364289567
IREN LTD;IREN US Equity;;;;0.00572429560919447;;;;;;;;0.00572429560919447
INTUITIVE SURGICAL INC;ISRG US Equity;;;;;;;0.00038464412505342875;;;;;0.00038464412505342875
PLN JERONIMO MARTINS SGPS S.A.;JMT PL Equity;;;0.005429844386527296;;;;;;;;;0.005429844386527296
JOHNSON & JOHNSON;JNJ US Equity;;;;;;;0.00053878116802244004;;;;;0.00053878116802244004
JPMORGAN CHASE & CO;JPM US Equity;;;;;;;0.003529036764629869;;;;;0.003529036764629869
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;;0.0016255123703634583;;;;0.0017640653860482697;;;0.003830271292124353;;;0.007219849048536081
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;0.0846478681887244;0.05944462116133337;0.00041922759594526494;0.04128668944931151;0.0561921498913397;0.064840782403186275;0.05491158522106032;0.07509375731273282;0.07241928923961072;0.06123091900183777;0.02017581881960882;0.5906627082846909
KLA CORP;KLAC US Equity;;;;;;;0.0010486065554751144;;;;;0.0010486065554751144
COCA-COLA CO/THE;KO US Equity;;;;;;;0.0018461925884510635;;;;;0.0018461925884510635
KINO POLSKA TV S.A.;KPL PW Equity;;0.0007170123642692756;;;;;;;;;;0.0007170123642692756
PLN KRKA DD NOVO MESTO;KRKG SV Equity;;;0.00027241204580363283;;;;;;;;;0.00027241204580363283
KRUK S.A.;KRU PW Equity;0.004560741308766227;0.014228246395894415;0.002591516290986387;;0.021265317639434205;0.003176229662406511;;;0.012836661723250868;0.011107675999995354;0.005262109861650328;0.0750284988823843
KRATOS DEFENSE & SECURITY SOLUTIONS INC;KTOS US Equity;;;;;;;0.0002690988464459936;;;;;0.0002690988464459936
GRUPA KĘTY S.A.;KTY PW Equity;0.016985399893047914;0.017086290483836402;0.000012719207061886529;;0.018045034553783428;0.016635644322811818;0.0200301654799045;0.01036341080640119;0.016614054074229694;0.01190768613606517;0.007719887515640775;0.13540029247278275
LUBAWA S.A.;LBW PW Equity;0.003506623038030975;;;;;0.010717731434823674;;;;;;0.014224354472854648
LUMENTUM HOLDINGS INC;LITE US Equity;;;;;;;0.0008741960730718634;;;;;0.0008741960730718634
ELI LILLY & CO;LLY US Equity;;;;;;;0.0008430153885068103;;;;;0.0008430153885068103
CHENIERE ENERGY INC;LNG US Equity;;;;;;;0.0010217948463651992;;;;;0.0010217948463651992
LPP S.A.;LPP PW Equity;0.06362467673468355;0.06006587318010611;0.03373859319317994;0.03565574432378017;0.0916640360464484;0.04695875091219574;0.005307621256423765;0.04151265114285289;0.04464085447597807;0.05593688073779594;0.02062125134153279;0.4997269333449774
LAM RESEARCH CORP;LRCX US Equity;;;;;;;0.00096398872491543;;;;;0.00096398872491543
LUNDIN MINING CORP;LUN CN Equity;;;;;;;0.002214197249728869;;;;;0.002214197249728869
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;;0.0005187093595383356;;;;;0.00031082341448636953;;;;;0.0008295327740247052
MASTERCARD INC.;MA US Equity;;;;;;;0.0025268743746740896;;;;;0.0025268743746740896
MBANK S.A.;MBK PW Equity;0.028846484484600996;0.014957109247604183;0.054460894084104465;0.005791967481174722;0.019034888352824595;0.016868574033963362;0.007862415021256104;0.025437099539195147;0.019427617684816139;0.02850638048687747;0.007739977405235199;0.2289334078216524
MO-BRUK S.A.;MBR PW Equity;;0.0026427321841318235;;0.0044343613623153766;;;;;0.0016656755136081647;0.00383280584157036;0.001817227928669864;0.014392802830295588
LVMH Moet Hennessy Louis Vuitton;MC FP Equity;;;;;0.0043946959511700573;;;;;;;0.0043946959511700573
MCI MANAGEMENT S.A.;MCI PW Equity;;;;;;0.00243821317883163;;;;;;0.00243821317883163
MERCOR S.A.;MCR PW Equity;;0.0003582746856571985;;;;;;;;;;0.0003582746856571985
Medicalgorithmics SA;MDG PW Equity;0.0019844599611793132;;0.011256260951130364;0.0038213093094145;0.00525233347730911;;;;;;;0.02231436369903329
MODIVO S.A.;MDV PW Equity;0.004274115831546901;0.004486424882421296;0.019253561149711858;0.011454917226217485;0.00727750195779406;;0.0014607941917019301;0.008319493823894374;0.006997800002773676;0.0020972908719969724;;0.06562189993805855
MERCADOLIBRE INC;MELI US Equity;;;;0.006179789082563978;;;;;;;;0.006179789082563978
META PLATFORMS INC;META US Equity;;;0.019005483836787709;0.009131254468176291;;;0.0034324004168539224;;;;;0.031569138721817924
MFO S.A.;MFO PW Equity;0.0005153650370856519;0.0006006800538450359;;0.0040391919468491383;;;;;;;;0.005155237037779826
M/I HOMES INC;MHO US Equity;;;;;;;0.0004323437513484612;;;;;0.0004323437513484612
BANK MILLENNIUM S.A.;MIL PW Equity;0.000004648303283007962;0.007130186845126939;;;0.0029529210899864894;0.010816547517222825;0.015469331975535798;0.015489630872438267;0.019223463664425837;0.013112253607549715;0.0023069430004054592;0.08650592687597435
MLP GROUP S.A.;MLG PW Equity;;0.0009227837956531297;;;;0.0019680043824785498;0.0007867808416999042;;;;0.0003033900976913453;0.003980959117522929
MARTIN MARIETTA MATERIALS INC;MLM US Equity;;;;;;;0.003841354341259012;;;;;0.003841354341259012
Monster Beverage Corp;MNST US Equity;;;;;0.002521682836913075;;;;;;;0.002521682836913075
MOL HUNGARIAN OIL & GAS PLC;MOL HB Equity;;;;;;0.002707768835296832;;;;;;0.002707768835296832
PLN THE MOSAIC COMPANY;MOS US Equity;;;0.000011797918825000927;;;;;;;;;0.000011797918825000927
MARATHON PETROLEUM CORP;MPC US Equity;;;;;;;0.00062481733854124456;;;;;0.00062481733854124456
MIRBUD S.A.;MRB PW Equity;0.0008437973772649124;0.002929268091334668;;0.005490079578522638;0.009156262897177432;0.0009848812124246165;0.0021800208194015652;0.0005024429682875135;0.0013132241215926646;0.008723239031191121;0.001451017784135748;0.03357423388133288
MARVELL TECHNOLOGY INC;MRVL US Equity;;;;0.009042264498693852;;;0.0030426023669325847;;;;;0.012084866865626436
