COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;Pekao TFI S.A._pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
Schneider Electric SE;SU FP Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Scholar Rock Holding Corp.;SRRK US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
SentinelOne Inc.;S US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ServiceNow Inc.;NOW US Equity;0;0;0;0;0;-200;0;0;0;0;0;0;0;-200;;;;;;-20.5%;;;;;;;;-20.5%
Siemens Energy AG;ENR GR Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Skyworks Solutions Inc.;SWKS US Equity;0;0;0;0;0;0;0;0;0;0;-9242;0;0;-9242;;;;;;;;;;;-100%;;;-100%
Snowflake Inc.;SNOW US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Starbucks Corp;SBUX US Equity;0;0;0;2834;0;0;0;0;0;0;-16170;0;0;-13336;;;;127.9%;;;;;;;-100%;;;-72.5%
TALEX SA;TLX PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0%;;;;0%
TALLINNA SADAM AS;TSM1T ET Equity;0;0;630;0;0;0;0;0;0;0;0;0;0;630;;;;;;;;;;;;;;
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;0;-8628;0;-6638;2438850;-72031;32424;0;55493;0;2213480;164829;-1025219;3792560;;-3.1%;;-2.3%;694.5%;-16.3%;17.5%;;225.4%;0%;240.1%;25.2%;-55.9%;28.1%
TEN SQUARE GAMES SA;TEN PW Equity;85700;-361;0;-2469;4541;0;-247;0;0;0;31123;0;0;118287;241%;-100%;;-20.9%;116.3%;;-5.3%;;;0%;113.6%;;;73.7%
TEXT S.A.;TXT PW Equity;0;3940;0;-6705;128915;277;-546;0;0;0;16492;0;-14421;127952;;39.8%;;-100%;794.8%;2.2%;-14.5%;;;0%;28.6%;;-100%;40%
