COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;Pekao TFI S.A._pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
Arcelormittal SA;MT NA Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Axsome Therapeutics Inc.;AXSM US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
BANCO SANTANDER S.A.;SAN SM Equity;0;0;67300;0;0;-1060;0;0;0;0;0;0;0;66240;;;;;;-4.4%;;;;;;;;271.9%
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;0;5187;0;-6336;-55353;0;-5764;0;-3914;0;-2220;-19340;0;-87740;;47.9%;;-47.6%;-51.5%;;-100%;;-45.4%;0%;-100%;-100%;;-18.6%
BANK MILLENNIUM S.A.;MIL PW Equity;796066;112330;0;0;312979;2468567;0;0;19795;0;-1452766;312374;-208043;2361302;;73.5%;;;35%;567.8%;;;29.1%;0%;-96.1%;232.8%;-35.6%;24.8%
BANK OF AMERICA CORP;BAC US Equity;0;0;0;4408;0;6046;0;0;0;0;0;15294;0;25748;;;;39.1%;;142.9%;;;;;;;;166.1%
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;265371;4286;98550;15002;38818;176661;5928;0;6964;0;115021;40015;-66580;700036;140.6%;7.8%;;14.4%;11%;16.2%;16.6%;;37.1%;0%;49.9%;53.1%;-31.7%;18%
BARRICK GOLD CORP;NA;266080;-3421;4413;-4884;6093;-38678;-1680;0;-115;0;-3299;-1440090;0;-1215581;516.8%;-100%;;-100%;20.9%;-72.8%;-100%;;-100%;0%;-5.7%;-98.6%;;-72.8%
BAYERISCHE MOTOREN WERKE AG;BMW GR Equity;0;0;0;0;0;-589;0;0;0;0;0;0;0;-589;;;;;;-100%;;;;;;;;-100%
BENEFIT SYSTEMS S.A.;BFT PW Equity;3371;405;1928;1016;-453;-2664;105;0;-46;0;1238;-653;-782;3465;61.6%;42.1%;;184.1%;-8.4%;-7.2%;15.1%;;-9.3%;0%;43.5%;-27%;-13.4%;4.4%
BHP Group Limited;BHP AU Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0%;;;0%
BICO GROUP AG;BICO SS Equity;0;0;4565;0;0;0;0;0;0;0;0;0;0;4565;;;;;;;;;;;;;;
BIO-TECHNE CORP;TECH US Equity;0;0;0;2266;0;0;0;0;0;0;0;0;0;2266;;;;;;;;;;;;;;
BLOOM ENERGY CORP;BE US Equity;0;0;0;0;0;0;0;0;0;0;0;-26229;0;-26229;;;;;;;;;;;;-100%;;-100%
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;98556;0;12500;24778;-199;1746;7930;0;0;0;19076;15681;9784;189852;174.9%;;;;-1.9%;9.2%;;;0%;0%;97.8%;;92.8%;47.8%
BNP PARIBAS S.A.;BNP FP Equity;0;0;750;0;0;36;0;0;0;0;0;0;0;786;;;;;;1.7%;;;;;;;;38.2%
BOOKING HOLDINGS INC;BKNG US Equity;0;0;173;0;0;0;0;0;0;0;0;0;0;173;;;;;;;;;;;;;;
BOOMBIT S.A.;BBT PW Equity;0;-3693;0;0;0;0;0;0;0;0;0;0;0;-3693;;-100%;;;;;;;;;;;;-100%
BUDIMEX S.A.;BDX PW Equity;0;1427;0;-2299;1806;-70156;-1010;0;-1783;0;3611;0;-10400;-78804;;59.8%;;-45.5%;16.6%;-90.3%;-61.1%;;-87%;0%;291%;;-99.7%;-37.8%
BUMECH S.A.;BMC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
Banco Comercial Portugues S.A.;BCP PL Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Berkshire Hathaway Inc.;BRK/A US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Broadcom Inc.;AVGO US Equity;0;0;0;0;0;753;0;0;0;0;0;0;0;753;;;;;;;;;;;;;;
CADENCE DESIGN SYSTEMS INC;CDNS US Equity;0;0;0;0;0;-518;0;0;0;0;0;0;0;-518;;;;;;-100%;;;;;;;;-100%
CANADIAN PACIFIC KANSAS CITY LTD;CP CN Equity;0;0;0;0;0;-81;0;0;0;0;0;0;0;-81;;;;;;-4.8%;;;;;;;;-4.8%
CAPITAL ONE FINANCIAL CORP;COF US Equity;0;0;0;0;0;370;0;0;0;0;0;0;0;370;;;;;;;;;;;;;;
CARNIVAL CORP;CCL US Equity;0;0;0;0;0;2386;0;0;0;0;0;0;0;2386;;;;;;;;;;;;;;
CATERPILLAR INC;CAT US Equity;0;0;0;0;0;-766;0;0;0;0;0;0;0;-766;;;;;;-51.4%;;;;;;;;-51.4%
CCC S.A.;CCC PW Equity;86494;13443;8750;26276;147486;153298;1701;0;2734;0;105883;13247;35481;594793;;;;;;;21%;;37.1%;0%;;;86.5%;139%
CD PROJEKT S.A.;CDR PW Equity;249720;3458;1400;-3321;131155;284562;3842;0;10838;0;32063;-7765;66531;772483;;17.8%;;-15%;221.8%;1405.9%;77.1%;;398.3%;0%;335%;-43.1%;;135%
CDRL S.A.;CDL PW Equity;0;0;500;0;0;0;0;0;0;0;0;0;0;500;;;;;;;;;;;;;;
CEZ A.S.;CEZ CP Equity;0;0;800;0;0;0;0;0;0;0;0;0;0;800;;;;;;;;;;;;;;
CF Industries Holdings Inc;CF US Equity;0;0;1210;1864;0;0;0;0;0;0;0;0;0;3074;;;;;;;;;;;;;;
CHENIERE ENERGY INC;LNG US Equity;0;0;0;0;0;1201;0;0;0;0;0;0;0;1201;;;;;;185.3%;;;;;;;;185.3%
CHEVRON CORP;CVX US Equity;0;0;0;0;0;-894;0;0;0;0;0;0;0;-894;;;;;;-100%;;;;;;;;-100%
CHEWY INC;CHWY US Equity;0;0;0;0;0;2949;0;0;0;0;0;0;0;2949;;;;;;;;;;;;;;
CLEAN HARBORS INC.;CLH US Equity;0;0;0;0;0;1119;0;0;0;0;0;0;0;1119;;;;;;162.9%;;;;;;;;162.9%
CLOUDFLARE INC;NET US Equity;0;0;0;0;0;530;0;0;0;0;0;0;0;530;;;;;;;;;;;;;;
COCA-COLA CO/THE;KO US Equity;0;0;0;6407;0;1247;0;0;0;0;0;0;0;7654;;;;115.9%;;21.7%;;;;;;;;68%
COGNOR HOLDING S.A.;COG PW Equity;0;0;0;0;322436;0;0;0;0;0;0;0;0;322436;;;;;;;;;;;;;;
COMMERZBANK AG;CBK GR Equity;0;0;0;0;51230;-11654;0;0;0;0;0;0;0;39576;;;;;;-100%;;;;;;;;339.6%
COMP S.A.;CMP PW Equity;0;1400;0;0;0;0;0;0;0;0;0;0;0;1400;;440.3%;;;;;;;;;;;;440.3%
CONOCOPHILLIPS;COP US Equity;0;0;0;0;0;-121;0;0;0;0;0;0;0;-121;;;;;;-5.4%;;;;;;;;-5.4%
CONSTRUCTION PARTNERS INC;ROAD US Equity;0;0;0;0;0;6282;0;0;0;0;0;0;0;6282;;;;;;;;;;;;;;
CREDIT AGRICOLE SA;ACA FP Equity;0;0;11650;0;0;0;0;0;0;0;0;0;0;11650;;;;;;;;;;;;;;
CREEPY JAR S.A.;CRJ PW Equity;5958;-10;2487;0;-697;0;0;0;-300;0;0;0;-2569;4869;182.5%;-3.5%;;;-26.5%;;;;-100%;;;;-51.4%;42.4%
CREOTECH INSTRUMENTS S.A.;CRI PW Equity;0;0;0;0;20439;0;0;0;1574;0;0;0;0;22013;;;;;;;;;;;;;;
CROCS INC;CROX US Equity;0;0;0;0;0;829;0;0;0;0;0;0;0;829;;;;;;;;;;;;;;
CSX CORP;CSX US Equity;0;0;0;0;0;-5614;0;0;0;0;0;0;0;-5614;;;;;;-83.6%;;;;;;;;-83.6%
CTP N.V.;CTPNV NA Equity;0;0;8;0;22570;0;0;0;0;0;66976;0;960;90514;;;;;;;;;;;221.2%;;3.4%;155.2%
CYBER_FOLKS S.A.;CBF PW Equity;27649;5239;0;-1014;53124;628;3321;0;2623;0;103067;459;30126;225222;34.8%;143.6%;;-3.6%;121%;6.6%;;;87%;;;3.5%;;124.5%
CYFROWY POLSAT S.A.;CPS PW Equity;585089;74608;0;-44936;444988;95671;4722;0;34705;0;-28931;42442;356;1208714;;147.5%;;-27.8%;133.9%;589.7%;11.1%;;;0%;-5.4%;25.2%;0.5%;44.3%
CaixaBank SA;CABK SM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Capgemini SE;CAP FP Equity;0;0;0;657;0;0;0;0;0;0;0;0;0;657;;;;55.6%;;;;;;;;;;55.6%
Captor Therapeutics S.A.;CTX PW Equity;95295;0;1147;0;-121;-388;428;0;0;0;0;0;0;96361;353.4%;;;;-2.6%;-100%;8.8%;;;;;;;261.4%
Celon Pharma S.A.;CLN PW Equity;193980;-110;0;0;-1215;0;0;0;0;0;87186;0;0;279841;;-2.2%;;;-2.7%;;;;;;;;;569%
Compremum S.A.;CPR PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Covestro AG;1COV GR Equity;0;0;0;-4176;0;0;0;0;0;0;0;0;0;-4176;;;;-100%;;;;;;;;;;-100%
CrowdStrike Holdings Inc.;CRWD US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
DATADOG INC;DDOG US Equity;0;0;0;0;0;800;0;0;0;0;0;0;0;800;;;;;;;;;;;;;;
DEERE & COMPANY;DE US Equity;0;0;0;1018;0;-336;0;0;0;0;0;0;0;682;;;;;;-62.6%;;;;;;;;127%
DEKPOL S.A.;DEK PW Equity;0;2600;0;0;0;0;0;0;0;0;0;0;0;2600;;116.2%;;;;;;;;;;;;116.2%
DELKO S.A.;DEL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
DEVELIA S.A.;DVL PW Equity;2241165;87692;128598;0;1394411;0;17424;0;-37855;0;73969;85150;0;3990554;;54.1%;;;541.9%;;22.1%;;-35.3%;0%;;27.6%;;143.6%
DINO POLSKA S.A.;DNP PW Equity;92062;4322;0;1084;40350;59156;697;0;1976;0;73705;4947;-19570;258729;150.4%;29.4%;;4.4%;54.5%;20%;7.7%;;39.1%;0%;2192.9%;25.3%;-50.1%;31.6%
DO & CO AG;DOC AV Equity;0;0;0;0;1958;0;0;0;0;0;0;0;0;1958;;;;;54.3%;;;;;;;;;54.3%
DOM DEVELOPMENT S.A.;DOM PW Equity;66791;4160;0;0;-1037;4380;390;0;-566;0;-8790;-90;-1424;63814;;483.7%;;;-2.2%;30%;21.9%;;-18.5%;0%;-100%;-1.2%;-7.2%;61.8%
DUTCH BROS INC;BROS US Equity;0;0;0;0;0;1163;0;0;0;0;0;0;0;1163;;;;;;;;;;;;;;
Danaher Corp;DHR US Equity;0;0;0;366;0;0;0;0;0;0;-2538;0;0;-2172;;;;40%;;;;;;;-100%;;;-62.9%
Darden Restaurants Inc.;DRI US Equity;0;0;0;0;0;0;0;0;0;0;-8498;0;0;-8498;;;;;;;;;;;-100%;;;-100%
DataWalk S.A.;DAT PW Equity;0;0;4800;0;0;-1559;-282;0;0;0;0;0;0;2959;;;;;;-100%;-4.7%;;;;;;;39.1%
Deutsche Post AG;DHL GR Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Diagnostyka S.A.;DIA PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ECHO INVESTMENT S.A.;ECH PW Equity;0;-7035;0;52133;0;0;13788;0;-30620;0;-116014;564213;-19609;456856;;-26.6%;;25%;;;32.6%;;-51.2%;0%;-15.5%;;-3.6%;12.6%
ELF BEAUTY INC;ELF US Equity;0;0;0;0;0;49;0;0;0;0;0;0;0;49;;;;;;3.5%;;;;;;;;3.5%
ENEA S.A.;ENA PW Equity;0;-721;379500;0;-282865;-105694;7824;0;0;0;-412699;-100975;0;-515630;;-3.3%;;;-32.3%;-77.9%;17.1%;;;0%;-100%;-100%;;-15.9%
ENPHASE ENERGY INC;ENPH US Equity;0;0;0;0;0;0;0;0;0;0;0;522;0;522;;;;;;;;;;;;11.8%;;11.8%
ENTER AIR S.A.;ENT PW Equity;209189;6634;0;16259;0;742;0;0;6795;0;0;15863;0;255482;252.3%;85.4%;;70.7%;;7%;;;;;;62.1%;;170.4%
EOG RESOURCES INC;EOG US Equity;0;0;0;0;0;-333;0;0;0;0;0;0;0;-333;;;;;;-11.5%;;;;;;;;-11.5%
EQUIPMENT AG;SBO AV Equity;0;0;330;0;0;0;0;0;0;0;0;0;0;330;;;;;;;;;;;;;;
ERBUD S.A.;ERB PW Equity;0;-86;0;0;0;1277;2621;0;-2480;0;0;0;0;1332;;-1.2%;;;;25.2%;139.5%;;-100%;;;;;7.9%
ERSTE GROUP BANK AG;EBS AV Equity;0;0;22420;0;-12667;0;0;0;0;0;0;0;0;9753;;;;;-100%;;;;;;;;;77%
ESOTIQ & HENDERSON S.A.;EAH PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
EUROCASH S.A.;EUR PW Equity;0;-459;0;0;0;-74300;23829;0;-18488;0;-41807;-95205;0;-206430;;-2.5%;;;;-100%;88.6%;;-62.7%;0%;-100%;-100%;;-18.5%
EUROTEL S.A.;ETL PW Equity;0;-102;0;0;0;0;0;0;0;0;0;0;0;-102;;-5.6%;;;;;;;;0%;;;;-0.1%
EXXON MOBIL CORP;XOM US Equity;0;0;3930;0;0;0;0;0;0;0;0;0;0;3930;;;;;;;;;;;;;;
FABRITY HOLDING S.A.;FAB PW Equity;0;-1978;0;0;0;0;0;0;0;0;0;0;0;-1978;;-41.4%;;;;;;;;;;;;-41.4%
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;0;-45;0;0;22719;-73;0;0;0;0;0;0;0;22601;;-2.2%;;;;-1.5%;;;0%;;;;;160.3%
FEDERAL SIGNAL CORPORATION;FSS US Equity;0;0;0;0;0;6028;0;0;0;0;0;0;0;6028;;;;;;;;;;;;;;
FEDEX CORP;FDX US Equity;0;0;0;-874;0;-422;0;0;0;0;0;0;0;-1296;;;;-100%;;-43.9%;;;;;;;;-70.6%
FEERUM S.A.;FEE PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
FERRO S.A.;FRO PW Equity;72564;5669;0;-1558;195;-1339;7975;0;12022;0;0;612;22688;118828;;197%;;-3.8%;0.9%;-2.8%;;;;0%;;1.2%;23.3%;31.2%
FIELMANN AG;FIE GR Equity;0;0;3107;0;0;0;0;0;0;0;0;0;0;3107;;;;;;;;;;;;;;
FIFTH THIRD BANCORP;FITB US Equity;0;0;0;0;0;2198;0;0;0;0;0;0;0;2198;;;;;;;;;;;;;;
FORVIA SE;FRVIA FP Equity;0;0;0;0;0;0;0;0;0;0;0;22443;0;22443;;;;;;;;;;;;;;
FREEPORT-MCMORAN INC;FCX US Equity;0;0;0;0;0;-6489;0;0;0;0;-35235;0;0;-41724;;;;;;-56.4%;;;;;-100%;;;-89.3%
FRESHPET INC;FRPT US Equity;0;0;0;0;0;415;0;0;0;0;0;0;0;415;;;;;;;;;;;;;;
Fortinet Inc;FTNT US Equity;0;0;0;0;0;0;0;0;0;0;-18594;0;0;-18594;;;;;;;;;;;-100%;;;-100%
GE Vernova Inc.;GEV US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;0;-93;0;0;289;4757;0;0;0;0;0;0;0;4953;;-1.5%;;;0.7%;74.4%;;;;0%;;;;2.1%
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;0;-331;0;0;0;0;0;0;0;0;0;0;0;-331;;-2.9%;;;;;;;;;;;;-2.9%
GILEAD SCIENCES INC;GILD US Equity;0;0;230;0;0;0;0;0;0;0;0;0;0;230;;;;;;;;;;;;;;
GLOBAL FASHION GROUP SA;GFG GR Equity;0;0;310;0;0;0;0;0;0;0;0;0;0;310;;;;;;;;;;;;;;
GLOBE TRADE CENTRE SA;GTC PW Equity;0;0;0;0;0;0;-12352;0;0;0;0;0;0;-12352;;;;;;;-100%;;;0%;;;;-19.2%
GN STORE NORD A/S;GN DC Equity;0;0;0;0;0;0;0;0;0;0;0;-15337;0;-15337;;;;;;;;;;;;-100%;;-100%
GRAIL INC;GRAL US Equity;0;0;7;0;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;;;
GREENEX METALS LTD;GRX AU Equity;0;63322;0;0;0;0;0;0;0;0;0;0;0;63322;;;;;;;;;;;;;;
GRENEVIA S.A.;GEA PW Equity;0;-147894;288250;0;-20621;0;0;0;0;0;336627;0;0;456362;;-77.8%;;;-1.8%;;;;;0%;;;;13.8%
GRODNO S.A.;GRN PW Equity;0;0;0;0;0;0;0;0;0;0;0;91748;0;91748;;0%;;;;;;;;;;;;1026.6%
GRUPA AZOTY S.A.;ATT PW Equity;79345;3795;18250;0;603;-8529;-529;0;0;0;0;10800;0;103735;;31.7%;;;1%;-100%;-100%;;;0%;;;;21.7%
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;ZAP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
GRUPA KĘTY S.A.;KTY PW Equity;35421;1893;505;2616;2303;29467;608;0;1315;0;9310;770;-82;84126;;79.2%;;61.5%;18.4%;50.9%;40.4%;;235.7%;0%;381.4%;34.2%;-2.1%;52.5%
GRUPA PRACUJ S.A.;GPP PW Equity;7552;2057;0;8486;-1061;5812;6159;0;0;0;86711;-14620;63266;164362;131.5%;1049.5%;;33.4%;-100%;21.8%;;;;0%;1445183.3%;-100%;65.8%;43.8%
General Electric Co.;GE US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Goldman Sachs Group Inc;GS US Equity;0;0;0;121;0;0;0;0;0;0;0;0;0;121;;;;11.9%;;;;;;;;;;11.9%
Grenergy Renovables S.A.;GRE SM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
HOME DEPOT INC./THE;HD US Equity;0;0;0;0;0;-434;0;0;0;0;0;0;0;-434;;;;;;-100%;;;;;;;;-100%
HUNTINGTON BANCSHARES INC;HBAN US Equity;0;0;0;0;0;5504;0;0;0;0;0;0;0;5504;;;;;;;;;;;;;;
HUUUGE INC.;HUG PW Equity;-68047;-2525;102915;0;-111433;0;-11297;0;-3643;0;262196;17145;-57003;128308;-100%;-18.7%;;;-68.1%;;-100%;;-100%;0%;129.2%;33.3%;-100%;16.2%
HYDROGENPRO AS;HYPRO NO Equity;0;0;300;0;0;0;0;0;0;0;0;0;0;300;;;;;;;;;;;;;;
ILLUMINA INC;ILMN US Equity;0;0;54;0;0;0;0;0;0;0;0;0;0;54;;;;;;;;;;;;;;
IMPACT COATINGS AB;IMPC SS Equity;0;0;6000;0;0;0;0;0;0;0;0;0;0;6000;;;;;;;;;;;;;;
IMS S.A.;IMS PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
ING BANK ŚLĄSKI S.A.;ING PW Equity;0;667;4990;14;-10014;51818;1117;0;1462;0;-570;2433;-7758;44159;;5.4%;;0.1%;-20.7%;93.2%;19.5%;;43.2%;0%;-64.7%;13.4%;-53.9%;21.8%
ING GROEP NV;INGA NA Equity;0;0;22475;0;0;-11165;0;0;0;0;0;0;0;11310;;;;;;-100%;;;;;;;;101.3%
INGERSOLL-RAND INC;IR US Equity;0;0;0;0;0;-117;0;0;0;0;0;0;0;-117;;;;;;-2.4%;;;;;;;;-2.4%
INPOST S.A.;INPST NA Equity;0;0;0;10631;100250;27866;11560;0;0;0;-19918;-25524;-112091;-7226;;0%;;25.3%;91.3%;99.2%;;;0%;;-9.1%;-35.4%;-100%;-1.1%
INSTAL KRAKÓW S.A.;INK PW Equity;0;2941;0;0;0;0;0;0;0;0;0;0;0;2941;;;;;;;;;;;;;;
INTEL CORP;INTC US Equity;0;0;0;0;0;0;0;0;0;0;0;26335;0;26335;;;;;;;;;;;;;;
INTER CARS S.A.;CAR PW Equity;39577;1510;0;3821;-9967;-12906;606;0;719;0;15916;6345;-3124;42497;184.9%;40.3%;;70.9%;-56.5%;-32.1%;27.7%;;45.7%;0%;140%;108.7%;-49.4%;22.4%
INTROL S.A.;INL PW Equity;0;-296;0;0;0;0;0;0;0;0;0;0;0;-296;;-1.4%;;;;;;;;;;;;-1.4%
INTUITIVE SURGICAL INC;ISRG US Equity;0;0;126;0;0;576;0;0;0;0;0;0;0;702;;;;;;;;;;;;;;
IZOBLOK S.A.;IZB PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0%;;0%
Infineon Technologies AG;IFX GR Equity;41805;0;0;0;0;0;0;0;0;0;0;0;0;41805;324.2%;;;;;;;;;;;;;324.2%
Insulet Corp.;PODD US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;0;0;70550;0;-290081;-41400;1861;0;0;0;-289878;19749;0;-529199;;0%;;;-100%;-100%;20%;;;0%;-100%;66.8%;;-50.8%
JENOPTIK AG;JEN GR Equity;0;0;100;0;0;0;0;0;0;0;0;0;0;100;;;;;;;;;;;;;;
JERONIMO MARTINS SGPS S.A.;JMT PL Equity;0;0;38700;0;0;2615;0;0;0;0;195562;0;0;236877;;;;0%;;30.5%;;;;;;;;1115.7%
JPMORGAN CHASE & CO;JPM US Equity;0;0;0;0;0;-109;0;0;0;0;0;0;0;-109;;;;;;-4.5%;;;;;;;;-4.5%
JUMBO SA;BELA GA Equity;0;0;0;0;5200;0;0;0;0;0;0;0;0;5200;;;;;38.9%;;;;;;;;;38.9%
Jacobs Solutions Inc;J US Equity;0;0;0;0;0;0;0;0;0;0;-5459;0;0;-5459;;;;;;;;;;;-100%;;;-100%
Janux Therapeutics Inc.;JANX US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Johnson & Johnson;JNJ US Equity;0;0;0;1611;0;0;0;0;0;0;0;0;0;1611;;;;80.2%;;;;;;;;;;80.2%
Johnson Controls International;JCI US Equity;0;0;0;0;0;0;0;0;0;0;-29586;0;0;-29586;;;;;;;;;;;-100%;;;-100%
K+S AG;SDF GR Equity;0;0;17150;0;0;0;0;0;0;0;0;0;0;17150;;;;;;;;;;;;;;
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;204573;12032;57200;29600;160383;191642;2228;0;11033;0;-105412;30509;12672;606460;439.6%;39.1%;;88.1%;126%;558%;12.3%;;111.7%;0%;-100%;79.6%;18.6%;37.4%
KINO POLSKA TV S.A.;KPL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
KLAVIYO INC;KVYO US Equity;0;0;0;0;0;1428;0;0;0;0;0;0;0;1428;;;;;;;;;;;;;;
KRATOS DEFENSE & SECURITY SOLUTIONS INC;KTOS US Equity;0;0;0;0;0;4188;0;0;0;0;0;0;0;4188;;;;;;;;;;;;;;
KRKA DD NOVO MESTO;KRKG SV Equity;0;0;120;0;0;0;0;0;0;0;0;0;0;120;;;;;;;;;;;;;;
KRUK S.A.;KRU PW Equity;69920;2256;4410;6747;12847;50154;1057;0;411;0;-13189;143;-8177;126579;208.1%;30%;;57.7%;34.1%;55.7%;29.9%;;12%;0%;-60.8%;1.2%;-30%;32.7%
Kraft Heinz Co/The;KHC US Equity;0;0;0;3822;0;0;0;0;0;0;0;0;0;3822;;;;;;;;;;;;;;
L'OREAL SA;OR FP Equity;0;0;0;0;0;-103;0;0;0;0;0;0;0;-103;;;;;;-100%;;;;;;;;-100%
LOKUM DEWELOPER S.A.;LKD PW Equity;0;-213;0;0;0;0;0;0;0;0;0;0;0;-213;;-2.2%;;;;;;;;;;;;-2.2%
LPP S.A.;LPP PW Equity;2484;280;1281;461;69;3303;131;0;31;0;1494;72;836;10442;145.7%;66.4%;;73.2%;2.3%;32.2%;51%;;20.3%;0%;73%;8.3%;64.2%;34.4%
LSI SOFTWARE S.A.;LSI PW Equity;0;1354;0;0;0;0;0;0;0;0;0;0;0;1354;;15%;;;;;;;;;;;;15%
LUBAWA S.A.;LBW PW Equity;0;0;0;0;1718290;0;0;0;0;0;0;0;0;1718290;;;;;;;;;;;;;;
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;0;-265;3000;0;0;-8151;0;0;0;0;-124900;0;0;-130316;;-8.3%;;;;-47.7%;;;;;-100%;;;-89.7%
LVMH MOET HENNESSY LOUIS VUITTON SA;MC FP Equity;0;0;0;1222;0;92;0;0;0;0;0;0;0;1314;;;;473.6%;;64.3%;;;;;;;;327.7%
Linde Plc;LIN US Equity;0;0;0;0;0;-184;0;0;0;0;0;0;0;-184;;;;;;-100%;;;;;;;;-100%
Logitech International SA;LOGN SW Equity;0;0;0;-3714;0;0;0;0;0;0;0;0;0;-3714;;;;-100%;;;;;;;;;;-100%
Lundin Mining Corp.;LUN CN Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
M/I HOMES INC;MHO US Equity;0;0;0;0;0;1412;0;0;0;0;0;0;0;1412;;;;;;;;;;;;;;
MABION S.A.;MAB PW Equity;0;-2;0;0;-4172;0;0;0;0;0;0;0;0;-4174;;-2.6%;;;-100%;;;;;0%;;;;-93.4%
MAGYAR TELEKOM TELECOMMUNICATIONS PLC;MTELEKOM HB Equity;0;0;0;0;830818;0;0;0;0;0;0;0;0;830818;;;;;143.4%;;;;;;;;;143.4%
MANGATA HOLDING S.A.;MGT PW Equity;0;-27;0;0;0;0;0;0;0;0;0;0;0;-27;;-5.7%;;;;;;;;;;;;-5.7%
MARATHON PETROLEUM CORP;MPC US Equity;0;0;0;0;0;-1131;0;0;0;0;0;0;0;-1131;;;;;;-100%;;;;;;;;-100%
MARTIN MARIETTA MATERIALS INC;MLM US Equity;0;0;0;0;0;187;0;0;0;0;0;0;0;187;;;;;;19.2%;;;;;;;;19.2%
MARVIPOL DEVELOPMENT S.A.;MVP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0%;;;;;;;;;;;;0%
MASTERCARD INC.;MA US Equity;0;0;0;865;0;69;0;0;0;0;0;0;0;934;;;;;;10.6%;;;;;;;;142.8%
MAYR MELNHOF KARTON AG;MMK AV Equity;0;0;240;0;0;0;0;0;0;0;0;0;0;240;;;;;;;;;;;;;;
MBANK S.A.;MBK PW Equity;10958;1767;618;15;7904;17732;550;0;902;0;19179;9087;367;69079;151.9%;55.5%;;0.2%;34.6%;212.9%;23.9%;;88.1%;0%;217.9%;;3.6%;47%
