COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;0;6995;0;0;100004;0;4201;0;3930;107173;0;2330;17240.5;12692;18149;272714.5;;;;;;;;;;;;;;;;
BANK MILLENNIUM S.A.;MIL PW Equity;546500;105473;0;0;347597;381412;0;0;18957;4489040;86500;358962;108574.6;227652;0;6670667.6;;;;;;;;;;;;;;;;
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;365133;33487;76475;75286;196490;88438;26690;0;15899;1227504;652144;159637;39354.6;55179;173292;3185008.6;;;;;;;;;;;;;;;;
BENEFIT SYSTEMS S.A.;BFT PW Equity;4932;460;2000;0;5107;3437;412;0;373;31713;27847;3018;59.2;1597;7178;88133.2;;;;;;;;;;;;;;;;
BLOOM ENERGY CORP;BE US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;7571;0;7571;;;;;;;;;;;;;;;;
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;23568;0;0;0;19475;19187;0;0;609;115475;0;19508;0;0;10494;208316;;;;;;;;;;;;;;;;
BUDIMEX S.A.;BDX PW Equity;0;3003;0;1521;32162;10055;1649;0;2608;74018;54795;12291;929.4;3612;9758;206401.4;;;;;;;;;;;;;;;;
BUMECH S.A.;BMC PW Equity;0;1259;0;0;0;0;0;0;0;0;0;0;0;0;0;1259;;;;;;;;;;;;;;;;
Banco Santander S.A.;SAN SM Equity;0;0;70800;0;0;0;0;0;0;0;0;0;0;0;0;70800;;;;;;;;;;;;;;;;
Bank of America Corporation;BAC US Equity;0;0;0;5951;0;0;0;0;0;0;0;0;0;0;0;5951;;;;;;;;;;;;;;;;
