COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Erste_pct;Generali Investments TFI S.A._pct;ING_pct;Investors TFI S.A._pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
NVIDIA CORP;NVDA US Equity;0;0;-474;5201;0;8247;3447;-4565;0;0;-4726;0;7130;;;-0.03976510067114092;0.4981323628004981;;;0.6880239520958085;-1;;0;-0.27826189354686758;;0.039090983853724115
Novartis AG;NOVN SW Equity;0;0;0;0;0;0;0;0;0;0;-32960;0;-32960;;;;;;;;;;;-1;;-1
OCULAR THERAPEUTIX, INC.;OCUL US Equity;0;0;0;-52402;0;0;0;0;0;0;0;0;-52402;;;;-1;;;;;;;;;-1
ONDE S.A;OND PW Equity;0;0;0;0;0;0;0;0;0;0;0;448;448;;;;;;;;;;;;1.306122448979592;1.306122448979592
ONE UNITED PROPERTIES SA;ONE RO Equity;0;0;0;-83309;0;0;0;0;0;0;0;0;-83309;;;;-1;;;;;;;;;-1
ONESPAWORLD HOLDINGS LTD;OSW US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;;;;0
OPONEO.PL S.A.;OPN PW Equity;-69392;3819;0;54265;0;-752;1557;-9173;0;0;71697;55815;107836;-0.4457147995657955;4.663003663003663;;;0;-0.008822356226096395;0.12740364945585458;-1;;;35848.5;;0.39571391875527496
ORACLE CORPORATION;ORCL US Equity;0;0;0;0;0;0;398;-3347;0;0;0;0;-2949;;;;;;;;-1;;;;;-0.8810875410815656
ORANGE POLSKA S.A.;OPL PW Equity;2015286;74;-75000;0;3656;479343;53325;180471;476458;0;0;-32654;3100959;;0.0014922965233523655;-0.9740259740259741;;0.02774005083652642;1.0980254266407057;0.11813247673903415;;0.10628857762192867;;0;-0.06927599016465091;0.50538105110543995
ORLEN S.A.;PKN PW Equity;-15267;-24613;-83400;-26616;-9397;454577;-11321;3895;349804;0;-517175;135441;255928;-0.011517352977786777;-0.13570302248392817;-1;-0.10121229636615304;-0.032023582333696843;0.9861806238027367;-0.032657170384985945;0.023606632888069967;0.08261325065489977;0;-0.6622900309775142;0.8220302978806049;0.0226341018888343
ORZEŁ BIAŁY S.A.;OBL PW Equity;0;-143;0;0;0;0;0;0;0;0;0;0;-143;;-0.014928489403904344;;;;;;;;;;;-0.014928489403904344
OTP BANK NYRT.;OTP HB Equity;0;0;0;6940;0;-2763;0;0;0;0;0;0;4177;;;;;;-0.16493553008595985;;;;;;;0.24934336198662855
PALFINGER AG;PAL AV Equity;0;0;0;0;0;0;0;0;0;0;0;-16642;-16642;;;;;;;;;;;;-0.7209322474441171;-0.7209322474441171
PALO ALTO NETWORKS INC;PANW US Equity;0;0;0;0;0;0;394;0;0;0;0;0;394;;;;;;;0.8565217391304347;;;;;;0.8565217391304347
PARKER HANNIFIN CORP;PH US Equity;0;0;0;0;0;0;77;0;0;0;0;0;77;;;;;;;;;;;;;
PARSONS CORP;PSN US Equity;0;0;0;0;0;0;-2107;0;0;0;0;0;-2107;;;;;;;-1;;;;;;-1
PASSU SA;PAS PW Equity;0;0;0;12828;0;0;0;0;0;0;0;0;12828;;;;2.8557435440783615;;;;;;;;;2.8557435440783615
PCC ROKITA S.A.;PCR PW Equity;0;0;0;50913;0;0;0;0;0;0;0;0;50913;;;;;;;;;;;;;
PCF GROUP SA;PCF PW Equity;0;-92;0;0;0;0;0;0;0;0;0;0;-92;;-1;;;;;;;0;;;;-0.00022768895708558112
PEPCO GROUP NV;PCO PW Equity;-211357;-8817;0;-37691;0;-150251;0;63668;34117;0;0;33331;-277000;-0.28727834698432286;-0.17835180839873775;;-0.21214764949567723;0;-0.21732986186446812;0;;0.024765749992015085;0;;0.733597446902168;-0.0736193253652595
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;3842789;106606;0;406441;0;-2814502;-237047;22663;412736;0;363684;90639;2194009;;0.6368339307048985;;2.0433412095922782;0;-1;-0.499696447167051;0.09277886264732738;0.06044944570628141;0;0.5816403394997065;0.10214237659444269;0.13210259259607149
PKP CARGO SA;PKP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;0
PLAYWAY S.A.;PLW PW Equity;-16900;2500;0;0;0;-132;0;0;0;0;0;0;-14532;-0.7130500822750095;2.1949078138718173;;;0;-0.020862968231389334;;;0;;;;-0.3561240993971475
PLN CIRCA GROUP AS;CIRCA Equity;0;0;200;0;0;0;0;0;0;0;0;0;200;;;;;;;;;;;;;
PLN DATAWALK S.A.;DAT PW Equity;0;0;15000;0;0;0;0;0;0;0;0;0;15000;;;3.125;;;;;;;;;;3.125
PLN ERSTE GROUP BANK AG;EBS AV Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0
PLN K+S AG;SDF GR Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0
PLN KRKA DD NOVO MESTO;KRKG SV Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0
PLN READLY INTERNATIONAL AB;READ SS Equity;0;0;750;0;0;0;0;0;0;0;0;0;750;;;;;;;;;;;;;
PLN SUPER MICRO COMPUTER INC;SMCI US Equity;0;0;-14000;0;0;0;0;0;0;0;0;0;-14000;;;-0.7301173402868318;;;;;;;;;;-0.7301173402868318
PLN THE MOSAIC COMPANY;MOS US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0
PLN TOTALENERGIES SE;TTE FP Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0
PLN YARA INTERNATIONAL ASA;YAR NO Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;0
POLENERGIA S.A.;PEP PW Equity;0;-9562;0;0;0;-46;0;0;0;0;0;-2001;-11609;;-1;;;;-0.007963988919667542;;;;;;-0.3615829418142392;-0.5561996933691069
POLIMEX-MOSTOSTAL S.A.;PXM PW Equity;98670;0;0;259527;0;0;0;27771;0;0;0;0;385968;;;;;;;;;;;;;
POLTREG S.A.;PTG PW Equity;-16186;0;0;0;0;0;0;0;0;0;0;0;-16186;-0.8812544236946698;0;;;;;;;;;;;-0.7007836515564792
PORR AG;POS AV Equity;0;0;0;0;0;-128100;0;0;0;0;0;0;-128100;;;;;;-1;;;;;;;-1
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;399038;29911;5501;45282;39892;228138;62658;12341;56300;0;167217;75157;1121435;0.21374684498990824;0.1227551053910303;0.023230574324324405;0.12367772014781675;0.09296234153616712;0.16677778460080873;0.12918962161448878;0.063673465175913435;0.008979906541981553;0;0.19223128866939355;0.1438458284767159;0.06171796222828907
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;-267261;38029;-110500;127879;5656;13475;33521;-2571;1052445;0;309000;-13233;1186440;-0.1522301294458197;0.22094340609222574;-0.8516377649325626;0.6453515952239168;0.017951680272195292;0.013012170120967337;0.08713928091441513;-0.015806072827202922;0.2494267624610287;0;0.5441597047097111;-0.0346685878962536;0.09436608751141451
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX S.A.;PBX PW Equity;0;-650;0;0;0;0;0;0;0;0;0;0;-650;;-0.05220464219741383;;0;;;;;;;;;-0.006383751878296207
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;0
PULTEGROUP INC;PHM US Equity;0;0;0;0;0;0;444;0;0;0;0;0;444;;;;;;;;;;;;;
PUMA SE.;PUM GR Equity;0;0;0;0;0;-52055;0;0;0;0;0;0;-52055;;;;;;-1;;;;;;;-1
PepsiCo Inc.;PEP US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0;;0
Pfizer Inc.;PFE US Equity;0;0;0;0;0;0;0;0;0;0;-153896;0;-153896;;;;;;;;;;;-1;;-1
Procter & Gamble Company;PG US Equity;0;0;0;0;0;0;0;0;0;0;25326;0;25326;;;;;;;;;;;2.309291510896325;;2.309291510896325
QUANTA SERVICES INC;PWR US Equity;0;0;0;0;0;0;7111;0;0;0;0;0;7111;;;;;;;4.659895150720839;;;;;;4.659895150720839
QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.;QRS PW Equity;302795;0;0;0;0;0;-274;0;0;0;0;0;302521;4.2372656031346213;;;;;;-0.002154325161574433;;;;;;1.5229151354671126
RAIFFEISEN BANK INTERNATIONAL AG;RBI AV Equity;0;0;0;0;0;-108775;0;0;0;0;0;0;-108775;;;;;;-1;;;;;;;-1
RAINBOW TOURS S.A.;RBW PW Equity;42435;5044;0;10384;0;18746;4845;4090;120;0;4068;355;90087;1.496825396825397;0.7185185185185186;;0.6620337902454574;0;0.2952963044642576;0.2619202075900098;0.8429513602638087;0.0012357884330203017;0;0.15766219672893577;0.01489781358848452;0.14217827720084596
RALPH LAUREN CORP;RL US Equity;0;0;0;0;0;0;189;0;0;0;0;0;189;;;;;;;;;;;;;
RAWLPLUG S.A.;RWL PW Equity;0;-257;0;0;0;0;0;0;0;0;0;0;-257;;-0.022143718766155396;;;;;;;;;;;-0.022143718766155396
ROCKET LAB CORP;RKLB US Equity;0;0;0;-11183;0;0;1252;0;0;0;0;0;-9931;;;;-1;;;;;;;;;-0.888044353035858
ROYAL CARIBBEAN CRUISES LTD;RCL US Equity;0;0;0;0;0;0;-271;0;0;0;0;0;-271;;;;;;;-1;;;;;;-1
RYVU THERAPEUTICS S.A.;RVU PW Equity;-155632;0;-3250;0;0;-839;0;0;0;0;0;34499;-125222;-1;0;-0.503875968992248;;;-0.02161813965472814;;;0;;;0.4596250949253253;-0.27956518730032577
Rheinmetall AG;RHM GR Equity;0;0;0;0;0;0;-60;122;0;0;0;0;62;;;;;;;-0.14457831325301207;0.9104477611940298;;0;;;0.008789339381910954
Ryanair PLC;RYA ID Equity;0;0;0;0;0;0;0;0;0;0;219584;0;219584;;;;;;;;;;;;;
SAAB AB;SAABB SS Equity;0;0;0;0;0;0;-1559;0;0;0;0;0;-1559;;;;;;;-0.3486915678819056;;;;;;-0.3486915678819056
SAFRAN SA;SAF FP Equity;0;0;0;0;0;0;0;-28;0;0;0;0;-28;;;;;;;;-0.031782065834279227;;;;;-0.031782065834279227
SAIPEM SPA;SPM IM Equity;0;0;0;-196451;0;0;0;0;0;0;0;0;-196451;;;;-1;;;;;;;;;-1
SALESFORCE, INC.;CRM US Equity;0;0;0;1986;0;0;-183;0;0;0;0;0;1803;;;;0.4305224365922393;;;-0.1508656224237428;;;;;;0.30947476828012356
SAP SE;SAP GR Equity;0;0;0;0;0;0;-678;0;0;0;0;0;-678;;;;;;;-0.54066985645933016;;;;;;-0.54066985645933016
SCANWAY S.A.;SCW PW Equity;0;0;0;0;0;2769;0;0;0;0;0;8844;11613;;;;;;;;;;0;;;0.19180457833713206
SCHNEIDER ELECTRIC SE;SU FP Equity;0;0;0;3357;0;0;0;1054;0;0;0;0;4411;;;;;;;;;;;;;
SEAGATE TECHNOLOGY HOLDINGS PLC;STX US Equity;0;0;0;0;0;0;88;0;0;0;0;0;88;;;;;;;;;;;;;
SELENA FM S.A.;SEL PW Equity;0;-158;0;0;0;0;0;0;0;0;0;0;-158;;-0.03029721955896447;;;;;;;;;;;-0.03029721955896447
SELVITA S.A.;SLV PW Equity;-5132;11;-500;54007;12335;288;0;0;0;0;0;17489;78498;-0.017925879353103524;0.0009680542110357404;-0.5;;0.7185715950133986;0.010733852633148189;0;;0;0;;0.5042818834520342;0.09974434301746404
SERVICENOW INC;NOW US Equity;0;0;0;9965;0;0;2201;0;0;0;0;0;12166;;;;;;;3.909413854351687;;;;;;21.60923623445826
SHOPER S.A.;SHO PW Equity;-229560;16008;0;94290;32360;-924;17969;-30388;0;0;30333;-1857;-71769;-0.7931889956947487;3.3315296566077006;;1.456103775770211;0.6452642073778665;-0.012490875172357807;0.34980241001382154;-1;;0;0.16257195227835485;-0.03389799569201568;-0.05166657067987446
SHOPIFY INC.;SHOP CN Equity;0;0;0;0;0;0;-143;0;0;0;0;0;-143;;;;;;;-0.08635265700483096;;;;;;-0.08635265700483096
SIEMENS AG;SIE GR Equity;0;0;0;0;0;0;256;0;0;0;10570;0;10826;;;;;;;0.15393866506313891;;;;;;6.509921828021648
SIEMENS ENERGY AG;ENR GR Equity;0;0;0;0;0;28025;0;0;0;0;0;0;28025;;;;;;;;;;;;;
SIKA AG;SIKA SW Equity;0;0;0;0;0;0;-371;0;0;0;0;0;-371;;;;;;;-1;;;;;;-1
SLB LTD;SLB US Equity;0;0;0;0;0;0;2059;0;0;0;0;0;2059;;;;;;;;;;;;;
SNIEZKA SA;SKA PW Equity;0;-247;0;0;0;0;0;0;0;0;0;0;-247;;-1;;;;;;;0;;;;-0.003522080736927613
SNOWFLAKE INC.;SNOW US Equity;0;0;0;0;0;0;0;-2224;0;0;0;0;-2224;;;;;;;;-1;;;;;-1
SOCIETE GENERALE PARIS;GLE FP Equity;0;0;0;0;0;20271;-474;0;0;0;0;0;19797;;;;;;;-0.24572317262830477;;;;;;10.262830482115085
STALEXPORT AUTOSTRADY SA;STX PW Equity;0;0;0;0;0;0;-77;0;0;0;0;87383;87306;;0;;;;;-1;;0;0;;0.41045694530560105;0.006765607719051214
STALPRODUKT S.A.;STP PW Equity;0;0;0;0;0;263;0;0;0;0;0;0;263;;;;;;0.5313131313131314;0;;;;;;0.25988142292490114
STALPROFIL S.A.;STF PW Equity;0;-2911;0;0;0;0;0;0;0;0;0;0;-2911;;-1;;;;;;;;;;;-1
STRABAG SE;STR AV Equity;0;0;0;0;0;27988;0;0;0;0;0;0;27988;;;;;;;;;;;;;
SYMBOTIC INC;SYM US Equity;0;0;0;0;0;0;1175;0;0;0;0;0;1175;;;;;;;;;;;;;
SYNEKTIK S.A.;SNT PW Equity;0;0;0;0;0;3704;0;-1361;22140;0;0;5985;30468;;0;;;;0.3680810891384279;0;-1;;;;;1.815841230109065
Samsung Electronics;SMSN LI Equity;0;0;0;0;0;0;0;0;0;0;-1621;0;-1621;;;;;;;;;;;-0.3891022563610178;;-0.3891022563610178
TALEX SA;TLX PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;0
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;3302948;72058;0;-658568;38360;-2509669;-286122;26090;1314251;0;311711;280526;1891585;;0.2429385388220222;;-1;0.09325119967328055;-0.907352185127151;-0.2898010239996759;0.08831793101113705;0.16478909018686583;0;0.26030646100092113;0.4329766430365134;0.08331941435272427
TECNICAS REUNID AS SA;TRE SM Equity;0;0;0;0;0;0;0;0;0;0;0;36349;36349;;;;;;;;;;;;;
TELEDYNE TECHNOLOGIES INC;TDY US Equity;0;0;0;0;0;0;113;0;0;0;0;0;113;;;;;;;;;;;;;
TEN SQUARE GAMES S.A.;TEN PW Equity;0;0;0;0;0;-200;3761;0;400;0;0;0;3961;;;;;;-0.013789299503585206;;;0.005693220797335474;;0;;0.028899751933459727
TESLA INC;TSLA US Equity;0;0;0;0;0;0;151;0;0;0;0;0;151;;;;;;;;;;;;;
THEON INTERNATIONAL PLC;THEON NA Equity;0;0;0;0;0;-79905;0;0;0;0;0;0;-79905;;;;;;-1;;;;;;;-1
THYSSENKRUPP AG;TKA GR Equity;0;0;0;0;0;74390;0;0;0;0;0;0;74390;;;;;;;;;;;;;
TIMKEN CO/THE;TKR US Equity;0;0;0;0;0;0;456;0;0;0;0;0;456;;;;;;;;;;;;;
TOLL BROTHERS INC;TOL US Equity;0;0;0;0;0;0;393;0;0;0;0;0;393;;;;;;;;;;;;;
TORPOL S.A.;TOR PW Equity;0;-12140;0;-35975;0;-1284;22008;0;-268645;0;0;1492;-294544;;-0.7136978248089359;;-1;;-0.009588887644225386;;;-0.4036605852248311;;;0.10055941228011056;-0.3396302561317454
TOYA S.A.;TOA PW Equity;0;33804;0;0;0;567763;18432;0;0;0;0;0;619999;;1.8163451722099833;;;;;0.27161803713527853;;;;;;7.170022319621606
TTM TECHNOLOGIES INC;TTMI US Equity;0;0;0;0;0;0;565;0;0;0;0;0;565;;;;;;;;;;;;;
Take-Two Interactive Software Inc;TTWO US Equity;0;0;0;0;3841;0;0;0;0;0;0;0;3841;;;;;;;;;;;;;
TransDigm Group Inc.;TDG US Equity;0;0;0;0;0;0;0;0;0;0;2640;0;2640;;;;;;;;;;;;;
UBER TECHNOLOGIES INC;UBER US Equity;0;0;0;0;0;0;595;0;0;0;80303;0;80898;;;;;;;;;;;;;
ULTIMATE GAMES SP. A.;ULG PW Equity;0;-905;0;0;0;0;0;0;0;0;0;0;-905;;-1;;;;;;;;;;;-1
UNIBEP SA;UNI PW Equity;56379;-29369;0;0;0;0;0;0;175000;0;0;0;202010;0.09283443135020676;-1;;;;;;;0.3711637574497868;;;;0.1822921836620146
UNICREDIT SPA;UCG IM Equity;0;0;0;0;0;15593;0;0;0;0;0;0;15593;;;;;;;;;;;;;
UNIMOT S.A.;UNT PW Equity;0;396;0;0;0;0;0;0;0;0;0;0;396;;0.3574007220216606;;;;;;;;;;;0.3574007220216606
Urteste S.A.;URT PW Equity;-1835;0;0;0;0;0;0;-1949;0;0;0;0;-3784;-0.08186482266339501;;;;;;;-1;;;;;-0.15531111475948123
VALERO ENERGY CORP;VLO US Equity;0;0;0;0;0;0;752;0;0;0;0;0;752;;;;;;;;;;;;;
VANGUARD FUND S PLC SUB-FUND VAN GUARD S&P 500 UCITS ETF;VUSA LN Equity;0;0;0;0;0;0;0;0;0;0;0;180921;180921;;;;;;;;;;;;1.04247791689955;1.04247791689955
VERCOM S.A;VRC PW Equity;11552;12235;65296;13973;-96;-2342;11574;6143;61087;0;362577;5306;547305;0.06880777661297999;1.4019708949238;;0.644303038686771;-0.00972447325769854;-0.017611538490461043;0.9872057318321393;0.7588634959851761;9.289385644768856;0;199.65693832599118;0.15476155753244857;0.7103189332724209
VIGO PHOTONICS S.A.;VGO PW Equity;0;-550;0;0;0;-89;332;0;0;0;0;0;-307;;-1;;;0;-0.02234496610595027;0.11673699015471172;;;;;;-0.030730730730730738
VINCI SA;DG FP Equity;0;0;0;0;0;0;484;0;0;0;0;0;484;;;;;;;0.14711246200607908;;;;;;0.14711246200607908
VISA INC.;V US Equity;0;0;0;0;0;0;-945;-1424;0;0;0;0;-2369;;;;;;;-0.5110870740941049;-1;;;;;-0.7238007943782463
VOESTALPINE AG;VOE AV Equity;0;0;0;0;0;35441;0;0;0;0;0;0;35441;;;;;;;;;;;;;
VOTUM S.A.;VOT PW Equity;0;0;0;0;0;-8940;0;0;0;0;0;0;-8940;;0;;;;-0.19855194776351436;;;;;;;-0.17676018743697732
VOXEL S.A.;VOX PW Equity;-108817;0;0;0;0;-1745;0;0;9244;0;0;0;-101318;-0.8004487108757218;0;;;;-0.024646544540331328;;;4.599004975124378;0;0;;-0.1959130478499801
VRG S.A.;VRG PW Equity;2126100;51300;0;-487869;0;0;0;0;-8489;0;0;0;1681042;;1554.5454545454544;;-0.4698144986320683;;;;;-1;;;;1.6056548969340497
VULCAN MATERIALS CO;VMC US Equity;0;0;0;0;0;0;-28;0;0;0;0;0;-28;;;;;;;-0.014322250639386191;;;;;;-0.014322250639386191
Vestas Wind Systems A/S;VWS DC Equity;0;0;0;0;0;0;0;0;0;0;-86724;0;-86724;;;;;;;;;;;-1;;-1
Vonovia SE;VNA GR Equity;0;0;0;0;0;0;0;0;0;0;146640;0;146640;;;;;;;;;;;0.9172223125711498;;0.9172223125711498
WABTEC CORP;WAB US Equity;0;0;0;0;0;0;-28;0;0;0;0;0;-28;;;;;;;-0.016460905349794275;;;;;;-0.016460905349794275
WALMART INC;WMT US Equity;0;0;0;0;0;0;531;0;0;0;0;0;531;;;;;;;0.24824684431977563;;;;;;0.24824684431977563
WASTE CONNECTIONS INC;WCN CN Equity;0;0;0;0;0;0;-371;0;0;0;0;0;-371;;;;;;;-0.21494785631517964;;;;;;-0.21494785631517964
WASTE MANAGEMENT INC;WM US Equity;0;0;0;0;0;0;-15;0;0;0;0;0;-15;;;;;;;-0.016008537886872953;;;;;;-0.016008537886872953
WELLS FARGO & CO;WFC US Equity;0;0;0;0;0;0;-2145;0;0;0;0;0;-2145;;;;;;;-0.6244541484716157;;;;;;-0.6244541484716157
WILLIAMS COS INC;WMB US Equity;0;0;0;0;0;0;888;0;0;0;0;0;888;;;;;;;;;;;;;
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;-204282;-2673;0;-25144;0;0;-205;7000;-42039;0;-90525;-42911;-400779;-1;-0.2404425654403166;0;-1;0;;-0.012210375841324672;1.366920523335286;-0.1609542624796122;;-1;-0.8107582141440098;-0.5371371822140378
WITTCHEN S.A;WTN PW Equity;0;-961;0;0;0;0;0;0;0;0;0;-30979;-31940;;-0.10803822372119164;;;;;;;;;;-0.6102432778489116;-0.5353670801206839
WIZZ AIR HOLDINGS PLC;WIZZ LN Equity;0;0;0;7343;0;0;0;0;0;0;41578;0;48921;;;;0.16020508345151075;;;;;;;0.4733486645870808;;0.3659751782334504
Wielton S.A.;WLT PW Equity;0;-282;0;0;0;0;0;0;0;0;0;0;-282;;-0.012722187133447638;0;;;;;;;;0;;-0.0001811061346170817
XTB S.A.;XTB PW Equity;35543;14938;342;-50865;0;61660;29951;478;10227;0;-168056;-45900;-111682;0.1828654041066642;0.30359937402190916;0.001828241520327234;-0.6452492705822657;0;0.4004182116904453;0.29279618351206828;0.010410087767057874;0.017065649435817232;0;-0.4754583956928769;-0.3241433857800627;-0.03579086689067601
XTRACKERS DAX UCITS ETF;XDAX GR Equity;0;0;0;0;0;0;0;0;0;0;0;-23;-23;;;;;;;;;;;;-0.0027033380347908365;-0.0027033380347908365
Xylem Inc.;XYL US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;0;;0
ZABKA GROUP SA;ZAB PW Equity;538497;49016;1356900;0;30520;623257;239383;-12464;1900740;0;103030;436651;5265530;;0.2903172309223152;;;0.10610928004227693;;0.7407041830789368;-0.06085046135819949;0.55289123714773815;0;0.48681723681723675;2.3273654698959575;0.877309202788646
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
ZSCALER INC;ZS US Equity;0;0;0;0;0;0;388;0;0;0;0;0;388;;;;;;;;;;;;;
ZUE S.A.;ZUE PW Equity;0;-273;0;0;0;0;0;0;0;0;0;0;-273;;-0.018761597141089936;;;;;;;;;;;-0.018761597141089936
Zalando SE;ZAL GR Equity;0;0;0;0;-5710;0;0;-7657;0;0;0;-12285;-25652;;;;;-0.3165188470066519;;;-1;;;;-1;-0.6753725448896846
Zoetis Inc.;ZTS US Equity;0;0;0;0;0;0;0;0;0;0;-16684;0;-16684;;;;;;;;;;;-1;;-1
