COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Erste_pct;Generali Investments TFI S.A._pct;ING_pct;Investors TFI S.A._pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
ENEA S.A.;ENA PW Equity;982406;44939;0;0;0;-586761;2070;75765;36663;0;208;-72027;483263;;0.62747315656459875;;;;-0.7375168114229692;0.02043737967122472;;0.017773328614850703;;;-0.5748134551693867;0.15309561621347466
ENTER AIR S.A.;ENT PW Equity;-171454;2140;127350;21779;28125;0;8919;-6736;0;0;0;0;10123;-0.58695012152956075;0.18839686592129578;;0.7789620515755213;0.7431825388436741;;0.7812034685118682;-1;;;;;0.026128928179647737
EOG RESOURCES INC;EOG US Equity;0;0;0;0;0;0;255;0;0;0;0;0;255;;;;;;;0.32035175879396995;;;;;;0.32035175879396995
ERBUD S.A.;ERB PW Equity;0;-1071;0;0;0;0;0;0;0;0;0;0;-1071;;-1;;;;;0;;;;;;-0.14433962264150946
ERSTE BANK POLSKA S.A.;SPL PW Equity;64309;75;268;4635;568;56899;1751;3641;52095;0;-3354;17072;197959;0.6511974077261911;0.00524109014675056;0.009086901976740336;0.21231276624982833;0.0326850040280815;1.1621527777777776;0.06273287474921174;0.4270967741935483;0.1716157809432197;0;-0.13495895702559146;3.185668968091062;0.2324182610574168
ESOTIQ & HENDERSON S.A.;EAH PW Equity;0;-163;0;0;0;0;0;0;0;0;0;0;-163;;-0.022228283103777446;;;;;;;;;;;-0.022228283103777446
EUROCASH S.A.;EUR PW Equity;0;0;0;0;0;-220527;0;-93243;4165;0;0;0;-309605;;0;;;;-0.2390883879067528;;-1;0.005605939469313315;;;;-0.1760491701485476
EUROTEL SA;ETL PW Equity;0;-1713;0;0;0;0;0;0;-83166;0;0;0;-84879;;-1;;;;;;;-1;;;;-1
EXXONMOBIL CORP;XOM US Equity;0;0;0;0;0;0;755;0;0;0;0;0;755;;;0;;;;;;;;;;0.42415730337078664
Equinic, Inc.;EQIX US Equity;0;0;0;0;0;0;0;0;0;0;2370;0;2370;;;;;;;;;;;;;
Essential Utilities, Inc.;WTRG US Equity;0;0;0;0;0;0;0;0;0;0;-92461;0;-92461;;;;;;;;;;;-1;;-1
FABRITY S.A.;FAB PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;0;0;0;0;0;-631;0;-5723;0;0;0;0;-6354;;0;;;;-0.02833408172429275;;-1;;;;;-0.21187062354118037
FEDERAL SIGNAL CORPORATION;FSS US Equity;0;0;0;0;0;0;-53;0;0;0;0;0;-53;;;;;;;-0.012933138116154264;;;;;;-0.012933138116154264
FEERUM S.A.;FEE PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
FERRO S.A.;FRO PW Equity;-72564;0;0;-47286;0;-3850;0;-8887;0;0;0;56901;-75686;-1;0;;-1;0;-0.18904055779239915;0;-1;0;;;2.1901004580270197;-0.19770649391358862
FORVIA SE;FRVIA FP Equity;0;0;0;-49178;0;0;0;0;0;0;0;0;-49178;;;;-1;;;;;;;;;-1
FREEPORT-MCMORAN INC;FCX US Equity;0;0;0;0;0;0;3586;11032;0;0;62436;0;77054;;;;;;;0.7193580742226679;;;;;;15.457171514543631
FRESNILLO PLC;FRES LN Equity;0;0;0;0;0;0;-21923;0;0;0;0;0;-21923;;;;;;;-0.959515056022409;;;;;;-0.959515056022409
GE VERNOVA INC;GEV US Equity;0;0;0;0;0;0;90;0;0;0;0;0;90;;;;;;;;;;;;;
GENERAC HOLDINGS INC;GNRC US Equity;0;0;0;0;0;0;308;0;0;0;0;0;308;;;;;;;;;;;;;
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;-76380;0;0;0;0;18;0;0;24909;0;0;1315;-50138;-1;0;;;;0.010215664018161208;0;;0.14553134804480038;;;2.0482866043613708;-0.18780809397521757
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;0;-11069;0;0;0;0;0;0;0;0;0;0;-11069;;-1;;;;;;;;;;;-1
GLOBE TRADE CENTRE SA;GTC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;0
GREENEX METALS LTD;GRX AU Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
GRODNO S.A.;GRN PW Equity;0;-7774;0;-27349;0;0;0;0;0;0;0;0;-35123;;-1;;-0.13619884264100957;;;;;;;;;-0.1683942543725069
GRUPA AZOTY S.A.;ATT PW Equity;-205503;6600;0;0;0;266088;0;0;15178;0;0;51847;134210;-1;0.4189678156541612;;;;4.211785934754737;;;0.04185822037754572;;;;0.20742212976672157
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;ZAP PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
GRUPA KĘTY S.A.;KTY PW Equity;561;1;-350;-5697;361;7030;17891;142;4471;0;2522;4161;31093;0.019500834260289146;0.00026881720430105283;-0.9859154929577466;-1;0.05256260920209677;0.44654767198119806;1.6270461986176792;0.08114285714285717;0.0627306273062731;0;0.15703611457036114;2.5051173991571343;0.14687432096666008
GRUPA PRACUJ S.A.;GPP PW Equity;0;-1645;0;62246;-1087;0;0;0;1502;0;52328;184828;298172;;-0.1316105288423074;;;-0.032056386210150722;;0;;0.007340974071992301;;0.6435458480913026;;0.8176107182323472
HEIDELBERG MATERIALS AG;HEI GR Equity;0;0;0;0;0;0;-123;0;0;0;0;0;-123;;;;;;;-0.17723342939481267;;;;;;-0.17723342939481267
HENSOLDT AG;HAG GR Equity;0;0;0;0;0;0;-425;0;0;0;0;0;-425;;;;;;;-0.24926686217008797;;;;;;-0.24926686217008797
HUUUGE INC;HUG PW Equity;0;-10998;0;-68628;0;15417;0;-19537;-85996;0;-353435;0;-523177;;-1;;-1;;0.2960139779578357;;-1;-0.4169988265301174;;-0.7598693687301935;;-0.63600645273444954
IMS S.A.;IMS PW Equity;0;-2531;0;0;0;0;0;0;0;0;0;0;-2531;;-0.038173234996908167;;;;;;;;;;;-0.038173234996908167
INDRA SISTEMAS SA;IDR SM Equity;0;0;0;0;0;0;-2156;0;0;0;0;0;-2156;;;;;;;-0.5865070729053319;;;;;;-0.5865070729053319
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
INFINEON TECHNOLOGIES AG;IFX GR Equity;-54698;0;0;0;0;13838;0;0;0;0;0;0;-40860;-1;;;;;;;;;;;;-0.7470108596292368
ING BANK ŚLĄSKI S.A.;ING PW Equity;63057;-4626;0;0;0;32504;2210;-828;196474;0;0;11942;300733;2.012800051072523;-0.3422357031885773;0;;0;0.8511128567687875;0.09764503159103954;-0.07801752567605769;2.95805480277025;;0;6.831807780320366;1.5513696156822286
ING GROEP NV;INGA NA Equity;0;0;0;0;0;0;7115;0;0;0;0;0;7115;;;0;;;;0.8744008848469953;;;;;;0.3693801266742809
INGERSOLL-RAND INC;IR US Equity;0;0;0;0;0;0;26;0;0;0;0;0;26;;;;;;;0.015321154979375473;;;;;;0.015321154979375473
INPOST S.A.;INPST NA Equity;0;0;0;-84327;42210;-106743;17953;-44317;0;0;-143529;85577;-233176;;0;;-1;0.4229967531166072;-0.6122480584584677;0.3245124089438389;-1;;0;-0.3520628924646781;4.109931802900778;-0.1167212957197119
INSTAL KRAKÓW S.A.;INK PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
INTEL CORP;INTC US Equity;0;0;0;-17432;0;0;718;0;0;0;0;0;-16714;;;;-1;;;;;;;;;-0.9588113813675999
INTER CARS S.A.;CAR PW Equity;24799;58;0;-8573;-401;660;911;-458;2268;0;0;5254;24518;1.0419747899159665;0.010216663730843845;;-0.4414521112255407;-0.04483452593917714;0.017343318880567615;0.09575362623502205;-0.1482200647249191;0.031239669421487593;0;0;2.4267898383371826;0.09524031495573615
INTROL S.A.;INL PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;0
INTUITIVE SURGICAL INC;ISRG US Equity;0;0;0;0;0;0;-219;0;0;0;0;0;-219;;;;;;;-0.5934959349593496;;;;;;-0.5934959349593496
IREN LTD;IREN US Equity;0;0;0;17019;0;0;0;0;0;0;0;0;17019;;;;;;;;;;;;;
ISHARES CORE S& P 500 UCITS ETF;CSPX LN Equity;0;0;0;0;0;0;0;0;0;0;0;11555;11555;;;;;;;;;;;;4.335834896810507;4.335834896810507
IZOBLOK S.A.;IZB PW Equity;0;0;0;-7317;0;0;0;0;0;0;0;0;-7317;;;;-1;;;;;;;;;-1
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;0;8000;0;0;0;116774;0;0;263781;0;0;0;388555;;0.877385391533231;;;;;;;0.5393676797749134;;;;0.7799584081064046
JOHNSON & JOHNSON;JNJ US Equity;0;0;0;0;0;0;329;0;0;0;0;0;329;;;;;;;;;;;;;
JPMORGAN CHASE & CO;JPM US Equity;0;0;0;0;0;0;-146;0;0;0;0;0;-146;;;;;;;-0.08030803080308036;;;;;;-0.08030803080308036
Jeronimo Martins SGPS S.A.;JMT PL Equity;0;0;0;-39416;0;-135327;-8397;0;0;0;62419;-29602;-150323;;;0;-1;;-1;-1;;;;0.3191775498307443;-1;-0.33852414346002966
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;104989;-9730;0;15567;11123;40719;45366;-7047;63277;0;-17298;28693;275659;0.29809313973231276;-0.1711160353135662;0;0.3220780832971262;0.16408266827951444;0.14416714168876554;0.8796122152205525;-0.12371839887640446;0.05871376609880108;0;-0.1672225283489458;2.1909743433109347;0.09113444379388591
KINO POLSKA TV S.A.;KPL PW Equity;0;-1537;0;0;0;0;0;0;0;0;0;0;-1537;;-0.1293335577246718;;;;;;;;;;;-0.1293335577246718
KINROSS GOLD CORP;K CN Equity;0;0;0;0;0;-65208;0;0;0;0;0;0;-65208;;;;;;-1;;;;;;;-1
KLA CORP;KLAC US Equity;0;0;0;0;0;0;539;0;0;0;0;0;539;;;;;;;;;;;;;
KONTRON AG;KTN GR Equity;0;0;0;0;0;-116251;0;0;0;0;0;0;-116251;;;;;;-1;;;;;;;-1
KRATOS DEFENSE & SECURITY SOLUTIONS INC;KTOS US Equity;0;0;0;0;0;0;-3326;0;0;0;0;0;-3326;;;;;;;-0.7989430699015134;;;;;;-0.7989430699015134
KRUK S.A.;KRU PW Equity;-9050;806;0;-12697;1820;-19801;0;-5016;33843;0;-950;4567;-6478;-0.2868917419559359;0.1001864512119328;0;-1;0.10786463580868855;-0.6145371031314981;;-1;0.2442039181729625;0;-0.023670703144466065;0.8149536045681656;-0.01528987747799626
LAM RESEARCH CORP;LRCX US Equity;0;0;0;0;0;0;345;0;0;0;0;0;345;;;;;;;;;;;;;
LIVECHAT SOFTWARE SA;TXT PW Equity;0;0;0;0;0;-27771;0;0;869;0;0;0;-26902;;;;;;-1;;;0.00465806880433961;;0;;-0.0932513891344211
LPP S.A.;LPP PW Equity;4242;327;-659;-15;240;2963;2554;-49;297;0;-970;1026;9956;1.411177644710579;0.6100746268656716;-0.4295958279009127;-0.014778325123152691;0.1736613603473227;2.3184663536776213;0.22266782911944194;-0.08925318761384338;0.028042677745255373;0;-0.17909896602658794;;0.1918193553359151
LSI SOFTWARE S.A.;LSI PW Equity;0;-10382;0;0;0;0;0;0;0;0;0;0;-10382;;-1;;;;;;;;;;;-1
LUBAWA S.A.;LBW PW Equity;0;0;0;0;0;151483;0;0;0;0;0;0;151483;0;;;;;0.11439041942574857;;;;;;;0.07835491050761578
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;0;-17000;-1500;0;0;0;0;0;0;0;0;0;-18500;;-0.7169668086542111;-1;;;;0;;;;;;-0.5414898287721353
LUMENTUM HOLDINGS INC;LITE US Equity;0;0;0;0;0;0;158;0;0;0;0;0;158;;;;;;;;;;;;;
LUNDIN MINING CORP;LUN CN Equity;0;0;0;0;0;0;14142;0;0;0;0;0;14142;;;;;;;;;;;;;
LVMH Moet Hennessy Louis Vuitton;MC FP Equity;0;0;0;0;-607;0;0;0;0;0;0;0;-607;;;;;-0.4101351351351351;;;;;;;;-0.4101351351351351
M/I HOMES INC;MHO US Equity;0;0;0;0;0;0;417;0;0;0;0;0;417;;;;;;;;;;;;;
MABION S.A.;MAB PW Equity;0;-75;0;0;0;0;0;0;0;0;0;0;-75;;-1;;;;;;;;;;;-1
MAGYAR TELEKOM TELECOMMUNICATIONS PLC;MTELEKOM HB Equity;0;0;0;113728;0;-86265;0;0;0;0;0;0;27463;;;;;;-0.1840634134892355;;;;;;;0.05859773401327151
MANGATA HOLDING S.A.;MGT PW Equity;0;-444;0;0;0;0;0;0;0;0;0;0;-444;;-1;;;;;;;;;;;-1
MARATHON PETROLEUM CORP;MPC US Equity;0;0;0;0;0;0;379;0;0;0;0;0;379;;;;;;;;;;;;;
MARTIN MARIETTA MATERIALS INC;MLM US Equity;0;0;0;0;0;0;-15;0;0;0;0;0;-15;;;;;;;-0.014312977099236623;;;;;;-0.014312977099236623
MARVELL TECHNOLOGY INC;MRVL US Equity;0;0;0;-6042;0;0;414;0;0;0;0;0;-5628;;;;-0.5941587176713541;;;0.35384615384615394;;;;;;-0.4963400652614869
MARVIPOL DEVELOPMENT S.A.;MVP PW Equity;0;-8721;0;0;0;0;0;0;0;0;0;0;-8721;;-1;;;;;;;;;;;-1
MASTERCARD INC.;MA US Equity;0;0;0;0;0;0;-402;0;0;0;0;0;-402;;;;;;;-0.3450643776824034;;;;;;-0.3450643776824034
MBANK S.A.;MBK PW Equity;31036;-1456;711;2177;280;5896;6263;383;6777;0;-14801;-847;36419;2.386650261458013;-0.33579335793357934;0.03902733560215177;;0.04192872117400426;0.40603264238000136;1.380123402379903;0.1028740263228578;0.0882284018122168;0;-0.9976408735508222;-0.1409786950732357;0.13692331407130576
MCDONALD'S CORP;MCD US Equity;0;0;0;0;0;0;-213;0;0;0;0;0;-213;;;;;;;-1;;;;;;-1
