COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
MIRBUD S.A.;MRB PW Equity;;0.0008348385197805912;;;0.006498539773728969;0.0025737291372464294;;;;;;;;;0.009907107430755989
Microsoft Corporation;MSFT US Equity;;;;0.0174089616129963;;;;;;;0.015680332926650924;;0.017387971064147152;;0.05047726560379438
MTU Aero Engines AG;MTX GR Equity;;;;0.0024814539392084195;;;;;;;;;;;0.0024814539392084195
Micron Technology Inc;MU US Equity;;;;0.011186139920429041;;;;;;;;;;;0.011186139920429041
MARVIPOL DEVELOPMENT S.A.;MVP PW Equity;;0.0008114297832714623;;;;;;;;;;;;;0.0008114297832714623
CIECH S.A.;NA;;0.005996510234337544;;;0.017936042691760234;0.01133377974727719;0.01711099391813289;0.3200617755303644;0.011852837535852319;0.011345454720118673;0.037787231891116138;0.52329261768946054;0.018092416446315516;0.011211498942953415;0.986021159347689
Newmont Mining Corp;NEM US Equity;0.012330270438534476;;0.0025275808602571465;;;;;;;;0.008801713398407619;;;;0.02365956469719924
Neuca SA;NEU PW Equity;0.017834240178509275;0.00120328365210693;0.00547991454451926;0.01186243930593047;0.003086301765044452;0.01335131532272465;0.007264375770906101;;;0.010239914503195662;0.006576780137204017;;;0.007913058914083846;0.08481162409422465
NIKE;NKE US Equity;;;;0.007341212234739152;;;;;;;;;;;0.007341212234739152
NanoGroup S.A.;NNG PW Equity;;0.0002449083863169644;;;;;;;;;;;;;0.0002449083863169644
PLN NOLATO AB;NOLAB SS Equity;;;0.000005530114068508061;;;;;;;;;;;;0.000005530114068508061
NVIDIA Corp;NVDA US Equity;;;;0.011566581647253966;;;;;;;;;;;0.011566581647253966
NEWAG S.A.;NWG PW Equity;;;;;0.0005085787454834881;;;;;;;;0.000046010751384288895;;0.000554589496867777
ORZEŁ BIAŁY S.A.;OBL PW Equity;;0.0043175266207211227;;;;;;;;;;;;;0.0043175266207211227
OCULAR THERAPEUTIX, INC.;OCUL US Equity;;;;;;;;;;;;;0.002161967388377277;;0.002161967388377277
OEX S.A.;OEX PW Equity;;0.001663903853621495;;;;;;;;;;;;;0.001663903853621495
OMV AG;OMV AV Equity;;;0.0014439733349620845;;;;;;0.005560644432755425;;;;;;0.007004617767717509
Onde S.A.;OND PW Equity;;0.0000223786613131646;;;;;;;;;;0.0017032380353034518;;0.00004671284949659765;0.001772329546113214
ORANGE POLSKA S.A.;OPL PW Equity;0.00642129417746132;0.007351653756470022;0.012735923075183295;0.019206547966606191;0.00634873413897129;0.008056857563049786;0.01436766121510168;0.012194210851800371;0.01956565902402764;0.014415737989494724;0.008059907693551347;0.007945882488061865;0.008068648520171606;0.013457717199629675;0.15819643565958078
Oponeo.pl S.A.;OPN PW Equity;0.004178946406544517;0.0025456411384931615;;0.007771139227045337;0.0021710533612856636;0.0036116042746767485;;;;;0.0012624188436567718;0.0048122830414880896;;;0.02635308629319029
Pan American Silver Corp;PAAS CN Equity;0.01899765123045709;;;;;;;;;;;;;;0.01899765123045709
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX S.A.;PBX PW Equity;;0.0024010096629979413;;;0.0008113945626056063;;0.006170847732469209;;;;;;0.007050950765806208;;0.016434202723878966
PCF GROUP S.A.;PCF PW Equity;;0.00006183992612620711;;;0.00025733429004174725;0.0011853681024731981;;;;;;;;;0.0015045423186411525
PEPCO GROUP N.V.;PCO PW Equity;;0.006117418751291673;0.005980132384993325;;0.018928606595618573;0.013790881365306844;0.019872177294578588;;0.006557978753900093;0.010956787079894361;0.009637311863486162;;0.009507230612805659;;0.10134852470187527
PCC ROKITA S.A.;PCR PW Equity;;0.0026438564501533623;;;;;;;0.00539185999680782;;;;;;0.008035716446961182
Bank Polska Kasa Opieki S.A.;PEO PW Equity;0.04504163821501535;0.04662825565787373;0.07944359895796087;0.05479380067610975;0.05369361075272536;0.06479686186849301;0.06143280357748846;0.044735976718854324;0.06141341968812974;0.07209668449745895;0.05161327014917761;0.033469117636985417;0.04247336953482508;0.07122730929073419;0.7828597172218318
POLENERGIA S.A.;PEP PW Equity;;0.007962952919799857;;;0.003376220476935193;;;0.00776646295874516;;;;;;0.007002199451379989;0.0261078358068602
PLN PETROL DD LJUBLJANA;PETG SV Equity;;;0.00006758777441772748;;;;;;;;;;;;0.00006758777441772748
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;;0.017522587105053642;0.03175473450661659;0.01172261683437844;0.017064406690456908;0.014636226088874327;0.02333814827956279;0.014972223694918712;0.022653977290034675;0.02485948269081504;0.02341707359329297;0.005278515179208428;0.000037184037448385215;0.006189168072118209;0.21344634406277912
POLSKI KONCERN NAFTOWY ORLEN S.A.;PKN PW Equity;0.06597907617641649;0.12241050084249695;0.08610725406631348;0.10709358139731421;0.08209504567220016;0.09911913496704612;0.09629678235212136;;0.10223420399241256;0.11148025732705674;0.07013966191085531;;0.07771333638666333;0.09132140560353257;1.1119902406944291
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;0.047750236041967025;0.07939890616300452;;0.07820406469667927;0.07645638030844501;0.09558577943746977;0.08744694698981839;;0.09090976452074482;0.09441418266431372;0.07199446794274253;;0.06904608625573476;0.05868024276271447;0.8498870577836341
PKP CARGO S.A.;PKP PW Equity;;;;;0.003397110154422635;;;;;0.000005641555877883324;;;;;0.0034027517103005184
Playway S.A.;PLW PW Equity;0.02249501518602762;0.002664770244411788;;0.004796721654018443;0.010784349313032955;;0.01417990184819836;;;0.0010301534674817243;;;;;0.055950911713170886
POINTPACK PL SA;PNT PW Equity;;;;;;;;;;;;;0.002676803269423741;;0.002676803269423741
PORR AG;POS AV Equity;;;;;;;;;;;;;0.0033717427885322004;;0.0033717427885322004
PLN PSI SOFTWARE AG;PSAN GR Equity;;;0.00001011568446196366;;;;;;;;;;;;0.00001011568446196366
Poltreg SA;PTG PW Equity;0.003491699040265256;;;;;;;;;;;;;;0.003491699040265256
Pure Biologics S.A.;PUR PW Equity;0.0004623401025945593;;;;;;;;;;;;;;0.0004623401025945593
POLIMEX-MOSTOSTAL S.A.;PXM PW Equity;;;;;0.007090777594387748;;;;;;;;;;0.007090777594387748
Paypal Holdings;PYPL US Equity;0.00680820083018725;;;0.0018332352618072992;;;;;;;;;0.008053892777431463;;0.016695328869426012
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;0.0192633613018034;0.06421155490239585;0.06170063124666844;0.03908868492700505;0.033080265488892273;0.06822562448555238;0.06733358470290954;0.04680282933374115;0.07803823917837834;0.05623610232925436;0.026973719256206246;0.04375473719511642;0.039420131845755573;0.07328276808763107;0.71741223428131
QUALCOMM INC.;QCOM US Equity;;;;;;;;;;;;;0.005925585272577281;;0.005925585272577281
PLN QUANTAFUEL AS;QFUEL NO Equity;;;0.00021283841575555705;;;;;;;;;;;;0.00021283841575555705
RAINBOW TOURS S.A.;RBW PW Equity;;0.0007431801784215639;;;0.005491108674556118;0.0019313388908027299;;;0.0015858184799047154;0.0003083588276462278;0.00723505365125772;;;;0.017294858702589075
PLN READLY INTERNATIONAL AB;READ SS Equity;;;0.00004492917444275307;;;;;;;;;;;;0.00004492917444275307
PLN REPSOL YPF;REP SM Equity;;;0.016602514509240476;;;;;;;;;;;;0.016602514509240476
RHI MAGNESITA N.V.;RHIM LN Equity;;;;;;;;;;;;;0.005579855921640348;;0.005579855921640348
RHEINMETALL AG;RHM GR Equity;;;;;;;;;;;;;0.005419702734031114;;0.005419702734031114
Pernod Ricard;RI FP Equity;;;;0.00248705924363174;;;;;;;;;;;0.00248705924363174
Render Cube S.A.;RND PW Equity;;;;;;;;0.006276926485085585;;;;;;;0.006276926485085585
RANK PROGRESS S.A.;RNK PW Equity;;;;;;;;;0.003722803203446321;;;;;;0.003722803203446321
Roche Holding AG;ROG SW Equity;;;;0.012551339288556256;;;;;;;;;;;0.012551339288556256
RYVU THERAPEUTICS S.A.;RVU PW Equity;0.023905923372122797;0.0009085475714614204;0.005589350707760399;;0.0022443371931191322;;0.0032330397072203243;;0.004099486937746611;;;;;0.0136624844795587;0.05364316996898939
RAWLPLUG S.A.;RWL PW Equity;;0.002537164226503871;;;;;;;0.0007955600051276765;;;;;;0.0033327242316315475
Safran;SAF FP Equity;;;;;;;;;;;0.007501449372289761;;;;0.007501449372289761
Banco Santander S.A.;SAN SM Equity;;;0.01117546955095127;;;;;0.00932771832340113;;;;;;;0.0205031878743524
PLN OILFIELD EQUIPMENT AG;SBO AV Equity;;;0.0010817423367614017;;;;;;;;;;;;0.0010817423367614017
Starbucks Corp;SBUX US Equity;;;;0.0048313536494843456;;;;;;;;;;;0.0048313536494843456
PLN K S AG;SDF GR Equity;;;0.014985899486931369;;;;;;;;;;;;0.014985899486931369
SELENA FM S.A.;SEL PW Equity;;0.002031545240760547;;;;;;;;;;;;;0.002031545240760547
SHOPER S.A.;SHO PW Equity;;0.00047258864827498664;0.00060527655718555916;0.004876102437355585;0.00049732248690420575;0.0024331352341102017;0.006495693054716991;;0.0011253248385788392;;;;0.006436571752050624;0.002936353553964652;0.025878368563141647
Siemens AG;SIE GR Equity;;;;0.007555865044953051;;;;;;;0.007063099528653184;;;;0.014618964573606235
FABRYKA FARB I LAKIERÓW ŚNIEŻKA S.A.;SKA PW Equity;;0.0002487054505023688;;;;;;;;0.00003873168989019605;;;;;0.00028743714039256487
SKARBIEC HOLDING S.A.;SKH PW Equity;;0.0015916504934545123;;;;;;;;;;;;;0.0015916504934545123
PLN SCHLUMBERGER LTD;SLB US Equity;;;0.0021760722642102734;;;;;;;;;;;;0.0021760722642102734
SELVITA S.A.;SLV PW Equity;0.036257995596969;0.006729771492080108;0.0022898428801303686;0.007263258377019551;0.006736622294954263;0.011915430381645034;0.003825069036416384;0.005996436040797296;0.013697257449892355;0.004572319400656891;0.01435118986293466;;0.005492933554498542;0.020835534584954423;0.13996366095294889
SANOK RUBBER COMPANY S.A.;SNK PW Equity;;0.00026689813347581585;;;;;;;;;;;;;0.00026689813347581585
SYNEKTIK S.A.;SNT PW Equity;;;0.0011691204928971069;;0.003282200342864493;;;;;;;;;;0.0044513208357615996
Santander Bank Polska S.A.;SPL PW Equity;0.04630680876007529;0.015508460582343553;0.0242055139189815;0.029314292406480678;0.02392295090490704;0.05291288934567562;0.04056591876782627;0.029405180232940373;0.03648865789091886;0.029382527526327316;0.031254269843588944;0.018792063565069947;0.0257724367411138;0.018233840272540314;0.4220658107587895
SPYROSOFT SA;SPR PW Equity;;0.0022891203807921587;;;;;;;;;;;;;0.0022891203807921587
STALPROFIL S.A.;STF PW Equity;;0.0004729427919585499;;;;;;;;;;;;;0.0004729427919585499
STELLANTIS N.V.;STLA US Equity;;;;;;;;;;;;;0.014984321536801932;;0.014984321536801932
STALPRODUKT S.A.;STP PW Equity;;0.0031913819018703315;;;;0.0010825555629729719;;;0.00312465196845391;0.0012130027542655536;;;0.003276378398448079;;0.011887970586010845
STALEXPORT AUTOSTRADY S.A.;STX PW Equity;;0.0000038899464151389917;;;0.00031111150689121438;0.0000017512351739719725;;;;0.0023338939037746606;;;;0.0030803371087668796;0.005730983701021866
Tate & Lyle PLC;TATE LN Equity;;;;;;;;;;;0.008489039093351495;;;;0.008489039093351495
TEN SQUARE GAMES S.A.;TEN PW Equity;;0.0040228855149725684;;0.002967672091173104;0.0015609834800997097;;0.009146168408791481;;;0.005239855506855083;0.014989579900444088;;0.004511936815903714;0.008421969386490248;0.050861051104729995
Teradyne Inc.;TER US Equity;;;;;;;;;;;0.004271237578153144;;;;0.004271237578153144
TIM SA;TIM PW Equity;;0.0005098268566016617;;;;;0.0034411228284324435;;;;;;;;0.003950949685034105
TOYA S.A.;TOA PW Equity;;0.002586620391913478;;;;0.0029057747611407525;;;;;;;;;0.00549239515305423
TORPOL S.A.;TOR PW Equity;;;;;0.0024193185143387688;;;0.005322946007412769;;;;;0.005836863498407641;;0.01357912802015918
TAURON POLSKA ENERGIA S.A.;TPE PW Equity;;0.00792318113536609;;0.004990181349983466;0.003032762145570233;0.006884892868263617;0.009585291409123536;;0.01452587029969348;0.01225844705623092;0.007312767117550731;0.005870165257491337;0.007967960124199137;;0.08035151876347255
PLN TALLINNA SADAM AS;TSM1T ET Equity;;;0.00010129771553264822;;;;;;;;;;;;0.00010129771553264822
Trane Technologies PLC;TT US Equity;;;;;;;;;;;0.004859097999507753;;;;0.004859097999507753
PLN TOTAL SA;TTE FP Equity;;;0.017078332618881218;;;;;;;;;;;;0.017078332618881218
Take-Two Interactive Softwre;TTWO US Equity;;;;0.010050361483128114;;;;;;;0.012770481548261992;;0.005069954817149374;;0.02789079784853948
PLN AS TALLINNA VESI;TVE1T ET Equity;;;0.0004944045434448744;;;;;;;;;;;;0.0004944045434448744
LIVECHAT SOFTWARE S.A.;TXT PW Equity;0.012866580780124468;0.008355488998149387;;0.0005149687805654278;0.008378645087227372;0.007720054508694457;0.007602049501795473;;0.01028261105676658;0.007404468586872518;0.005473187048397122;;0.006072885260458838;0.014456849298293057;0.0891277889073447
Ultimate Games S.A.;ULG PW Equity;0.00033693429742740054;0.00022149659129420476;;;;;;;;;;;;;0.0005584308887216053
UNIBEP S.A.;UNI PW Equity;;0.000018215863287280292;;;;;;;0.0009044575111339606;0.0012775007067286404;;;;;0.0022001740811498813
Unimot S.A.;UNT PW Equity;;0.002720081048808302;;;;;;0.010497021694944622;;;;;;;0.013217102743752924
PLN VITA 34 AG;V3V GR Equity;;;0.00016604849627767836;;;;;;;;;;;;0.00016604849627767836
VIGO SYSTEM S.A.;VGO PW Equity;;0.0031141463839732203;;;;0.003805605556679659;0.006783490060533153;;;;;;;;0.013703242001186031
VEOLIA ENVIRONNEMENT SA;VIE FP Equity;;;;;;;;;;;;;0.009259947451279686;;0.009259947451279686
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;;0.0011304266379338736;;;;;;;;;;;;;0.0011304266379338736
Valero Energy Corp.;VLO US Equity;;;;;;;;0.0017788578302992097;;;;;;;0.0017788578302992097
Vonovia SE;VNA GR Equity;;;;;;;;;;;0.017801765374276246;;;;0.017801765374276246
VOTUM S.A.;VOT PW Equity;;0.0043634622759673064;;;0.008890766785195119;;;;;;;;;;0.013254229061162426
VOXEL S.A.;VOX PW Equity;;0.0024981295438551201;;;;;;;;;0.009716224104991931;;;;0.012214353648847052
Vercom S.A.;VRC PW Equity;0.006836748369527679;;;;0.006320696732547324;;;;;0.00013460493621760326;0.0002647232965458994;;;;0.013556773334838506
VRG S.A.;VRG PW Equity;;0.0014004169286904014;;;0.001948784475976538;;0.00032103192410958256;;0.005289239749236417;0.000019194510312533029;;0.004760725156502909;;;0.013739392744828383
Vertex Pharmaceuticals Inc.;VRTX US Equity;;;;;;;;0.011013572672088525;;;;;;;0.011013572672088525
VANGUARD FUN DS PLC SUB-FUND VANGUARD S&P 500 UCITS ETF;VUSA LN Equity;;;;;;;;;;;;;;0.06652059861266878;0.06652059861266878
Wielton S.A.;WLT PW Equity;;0.0021915090450868346;;;;;0.0015240631096982438;;;;0.005160127454774864;0.0018047583983419635;;;0.010680458007901907
Walmart Inc.;WMT US Equity;;;;0.007236460883884345;;;;0.00593013132655029;;;;;;;0.013166592210434636
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;0.03516951263850411;0.006043252693284646;;0.018595569447905396;0.006010022605746566;0.011772543990964255;0.010360516587110422;0.00024580365138432772;0.00059986065700910904;0.0186644654789219;0.009238145582955569;0.012491080231696257;0.007827380526908998;0.015360476625245256;0.15237863071763682
WITTCHEN S.A.;WTN PW Equity;;0.0024748429869168204;0.02509075490277638;;;;;;;;;;0.011410499047659892;;0.038976096937353093
PLN EXXON MOBIL CORP;XOM US Equity;;;0.019871411675936392;;;;;;;;;;;;0.019871411675936392
X-TRADE BROKERS DOM MAKLERSKI SA;XTB PW Equity;;0.006140915218849685;;;0.007943056533422727;0.004326159047476147;0.009976908052857371;;;;;;;0.010013384607719884;0.038400423460325808
PLN YARA INTERNATIONAL ASA;YAR NO Equity;;;0.011557590369161466;;;;;;;;;;;;0.011557590369161466
Zalando SE;ZAL GR Equity;;;0.001402374382529402;0.0024981110808149384;;;;;;;;;;;0.0039004854633443403
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;;0.002064094264768041;;;;;;;;;;;0.0049595683461007706;;0.007023662610868812
ZIPRECRUITER INC-A;ZIP US Equity;;;;;;;;;;;;;0.004106039586691033;;0.004106039586691033
