COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL
BANK POLSKA KASA OPIEKI S.A.;PEO PW Equity;0.08303479746706085;0.05815121547106869;0.05637034971719389;0.06396347539945377;0.06933399685509668;0.05561232597556996;0.0590817700796709;0.057130695076295845;0.0840415944222802;0.06560255047709583;0.05706624661191513;0.048439506366643705;0.7578285239193455
POLENERGIA S.A.;PEP PW Equity;;0.0030315956785782566;;;;0.0002832573839955743;;;;;;0.0008696127476520242;0.0041844658102258553
PepsiCo Inc.;PEP US Equity;;;;;;;;;;;0.0016327060328047474;;0.0016327060328047474
Pfizer Inc.;PFE US Equity;;;;;;;;;;;0.015228711413162879;;0.015228711413162879
Procter & Gamble Company;PG US Equity;;;;;;;;;;;0.007132821411509854;;0.007132821411509854
PGE POLSKA GRUPA ENERGETYCZNA S.A.;PGE PW Equity;;0.009988508962157144;;0.006746552720082377;0.005493170121833302;0.02597635929776438;0.013128737779374926;0.016654847137213011;0.01988258569419172;0.008161070225548582;0.008049922800346403;0.026243306675568814;0.14032506141408065
ORLEN S.A.;PKN PW Equity;0.07702900504324292;0.07790549725016752;0.030075342675693157;0.06420704342226312;0.07759691647261727;0.03062496359508538;0.06906354645184486;0.08098294739113832;0.08875968619706383;0.07803249824453175;0.072370106354697015;0.035076770594604305;0.7817243236929495
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI S.A.;PKO PW Equity;0.09941992508561057;0.0959157820145197;0.0552129196068938;0.08192433447528058;0.10399429992456774;0.08328938349158268;0.0885517543164364;0.08718015965836438;0.12044337198590569;0.11241811652620406;0.07388085039560938;0.10193775616589198;1.1041686536468669
PKP CARGO SA;PKP PW Equity;;;;;;;;;0.0014102528157206165;;;;0.0014102528157206165
PLAYWAY S.A.;PLW PW Equity;0.005384951613725258;0.001912840120730407;;;0.005958482176552683;0.0016435552125368533;;;0.0003176774160372756;;;;0.01521750653958248
PORR AG;POS AV Equity;;;;;;0.012400525661941162;;;;;;;0.012400525661941162
PARSONS CORP;PSN US Equity;;;;;;;0.0013270381656047323;;;;;;0.0013270381656047323
Poltreg SA;PTG PW Equity;0.0004082046773377418;0.0007770352208477171;;;;;;;;;;;0.001185239898185459
PUMA SE.;PUM GR Equity;;;;;;0.004142072921357809;;;;;;;0.004142072921357809
QUANTA SERVICES INC;PWR US Equity;;;;;;;0.005063072858490165;;;;;;0.005063072858490165
POWSZECHNY ZAKŁAD UBEZPIECZEŃ S.A.;PZU PW Equity;0.07828627417257331;0.05673150774022963;0.022311742577504434;0.03712559295200933;0.06393325826606425;0.05279600020934329;0.05880889567430208;0.06126263232194664;0.06787259432886014;0.04370230794094159;0.04038307620652187;0.06235579604527842;0.645569678435575
QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.;QRS PW Equity;0.0005310830167696006;;;;;;0.0032406198546299964;;;;;;0.003771702871399597
RAIFFEISEN BANK INTERNATIONAL AG;RBI AV Equity;;;;;;0.009663517144036522;;;;;;;0.009663517144036522
RAINBOW TOURS S.A.;RBW PW Equity;0.0027370172602282183;0.005009580943886245;;0.006362516169617725;0.009348621516049871;0.007007230477456738;0.006122638610326975;0.003956509097019113;0.003381808654632329;0.009817965140427043;0.003972779761403968;0.008428189777750539;0.06614485740879877
ROYAL CARIBBEAN CRUISES LTD;RCL US Equity;;;;;;;0.0007447041504787062;;;;;;0.0007447041504787062
Rheinmetall AG;RHM GR Equity;;;;;;;0.007676373234690319;0.006106471145358119;;0.005672426438296881;;;0.019455270818345318
ROCKET LAB CORP;RKLB US Equity;;;;0.004302131977839678;;;;;;;;;0.004302131977839678
CONSTRUCTION PARTNERS INC;ROAD US Equity;;;;;;;0.0044908006730222616;;;;;;0.0044908006730222616
RYVU THERAPEUTICS S.A.;RVU PW Equity;0.003547030091455153;0.00018261442060196736;0.00039129774356805674;;;0.0010113021851726196;;;0.0014049139694023063;;;0.006267188600316638;0.012804347010516741
