COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Erste;Generali Investments TFI S.A.;ING;Investors TFI S.A.;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;UNIQA TFI S.A.;TOTAL
ATM GRUPA SA;ATG PW Equity;;0.001102998100564655;;;;;;;0.0033053154249132854;;;;0.0044083135254779404
GRUPA AZOTY S.A.;ATT PW Equity;0.003403643976340751;0.0019285417548641257;;;;0.0011963445842798599;;;0.002166442598230017;;;;0.008694972913714755
BROADCOM INC;AVGO US Equity;;;;;;;0.00041122819094575436;;;;;;0.00041122819094575436
BABCOCK INTERNATIONAL GROUP PLC;BAB LN Equity;;;;;;;0.002573430006728898;;;;;;0.002573430006728898
BANK OF AMERICA CORP.;BAC US Equity;;;;;;;0.002956655174942867;0.00694243880482566;;;;;0.009899093979768527
Bioceltix SA;BCX PW Equity;;;;;;0.0022871797874676245;;;;0.005513323083939681;;;0.007800502871407305
BUDIMEX S.A.;BDX PW Equity;0.016037696369102437;0.016132444450396775;;;0.006568620717574228;0.00891229098349244;0.015799353088692045;0.005146554754436952;0.016376807648258587;0.014538897780449391;;0.009380019416908398;0.10889268520931125
BEFESA SA;BFSA GR Equity;;;;;;0.006822419741665886;;;;;;;0.006822419741665886
BENEFIT SYSTEMS S.A.;BFT PW Equity;0.03402158164139715;0.02121190739729878;0.07987482966452474;0.023813466191020782;0.027251463388273236;0.02213866808514956;0.015291483616224486;0.022134978837307298;0.01454713192217972;0.04997405493057569;0.030451982452616946;0.01457411245642274;0.3552856605829912
BHP Group Limited;BHP AU Equity;;;;;;;;;;;0.002989508166549772;;0.002989508166549772
BANK HANDLOWY W WARSZAWIE S.A.;BHW PW Equity;;0.006012498496375741;;;0.0026862889761273995;0.0007700946023465154;;0.006644123669112225;0.008852035407450337;;;;0.02496504115141222
PLN BOOKING HOLDINGS INC;BKNG US Equity;;;0.005580751930495779;;;;;;;;;;0.005580751930495779
BUMECH S.A.;BMC PW Equity;;0.00005499992805405767;;;;;;;;;;;0.00005499992805405767
BNP PARIBAS;BNP FP Equity;;;;;;;0.0021101060051490653;;;;;;0.0021101060051490653
BNP PARIBAS BANK POLSKA S.A.;BNPPPL PW Equity;;;;0.006848501603669985;0.008131516733121765;0.0008451288509884822;0.005311328702976353;;0.007653049348655553;0.01063627446990831;0.0046385645570571554;0.001427204581714755;0.04549156884809236
DUTCH BROS INC;BROS US Equity;;;;;;;0.0006977843657837816;;;;;;0.0006977843657837816
BOSTON SCIENTIFIC CORP;BSX US Equity;;;;;;;0.00087471914310041;;;;;;0.00087471914310041
CITIGROUP GLOBAL MARKETS LUXEMBURG;C US Equity;;;;;;;;;0.008035724150858711;;;;0.008035724150858711
INTER CARS S.A.;CAR PW Equity;0.009450394124324434;0.016662174225031623;;0.03239978233114022;0.016161313110521855;0.017276510114119756;0.012951661603657207;0.010363306594541026;0.010399130367575353;0.008550317738496815;0.014061782859733087;0.0031494511780519724;0.15142582424719334
CATERPILLAR INC;CAT US Equity;;;;;;;0.0014819444454913908;;;;;;0.0014819444454913908
CYBER_FOLKS S.A.;CBF PW Equity;0.012853097718571869;0.006593606495669652;0.02155356555132833;0.00597435353618718;0.01705074474363253;0.011810361765180766;0.006030068399159361;0.00571748387724776;0.0011445558340040451;0.011640426166189992;0.016992227656241647;0.00818439044220244;0.1255448821856156
COMMERZBANK AG;CBK GR Equity;;;;;;0.0017488568840421354;0.00210464827438097;;;;;;0.003853505158423105
CARNIVAL CORP;CCL US Equity;;;;;;;0.0003395546590815284;;;;;;0.0003395546590815284
COEUR MINING INC;CDE US Equity;;;;;;;0.002531516264139315;;;;;;0.002531516264139315
CD PROJEKT S.A.;CDR PW Equity;0.0544533348706654;0.035042092156750324;0.0005080938252216628;0.010288997619286915;0.020575978481403743;0.05063743333699112;0.030616273872126074;0.04413312656434811;0.037249847671318377;0.021826330368801807;0.009957109114137866;0.029866594302249037;0.3451552121833004
CHEMRING GROUP PLC;CHG LN Equity;;;;;;;0.0024769704780857868;;;;;;0.0024769704780857868
CHEWY INC;CHWY US Equity;;;;;;;0.001091376703638866;;;;;;0.001091376703638866
CLEAN HARBORS INC.;CLH US Equity;;;;;;;0.0028544359000005204;;;;;;0.0028544359000005204
Celon Pharma S.A.;CLN PW Equity;0.004427292140534213;0.0005839666467984631;;;;0.0016064245039547695;;;;;0.002263608612937046;;0.008881291904224492
CME GROUP INC;CME US Equity;;;;;;;0.000597425303648895;;;;;;0.000597425303648895
Comp SA;CMP PW Equity;0.002644837023946864;0.0021661579346450166;;;0.0035621901044942217;;;;;0.00006300257353925613;;;0.008436187636625357
PLN COGNOR HOLDING S.A.;COG PW Equity;;;0.005383322153347184;;;0.00194826893939368;;;;;;;0.007331591092740865
PLN COHERENT CORP;COHR US Equity;;;0.02365701579103146;;;;;;;;;;0.02365701579103146
CONOCOPHILLIPS;COP US Equity;;;;;;;0.00051188851636355115;;;;;;0.00051188851636355115
COSTCO WHOLESALE CORP;COST US Equity;;;;;;;0.0006428601988707755;;;;;;0.0006428601988707755
CYFROWY POLSAT S.A.;CPS PW Equity;;0.0130294997761961;;0.010467321089042445;0.01004903997292457;0.01494780222314632;0.006144934956658819;0.007287230246062143;0.008682025088572021;;0.0047000037206308853;0.002597897539160929;0.07790575461239423
Camden Property Trust;CPT US Equity;;;;;;;;;;;0.003798488994003881;;0.003798488994003881
CREOTECH Instruments S.A.;CRI PW Equity;;;;;;0.007261086357820611;;;;0.02470092720066611;;;0.03196201355848672
CREEPY JAR S.A.;CRJ PW Equity;0.0029637267779568666;0.0006555636290455444;0.003328358152040587;;;0.0006925460213469316;;;;;;0.0006321851019144424;0.008272379682304372
SALESFORCE, INC.;CRM US Equity;;;;0.013528795483852205;;;0.00290272543165722;;;;;;0.016431520915509426
Czechoslovak Group AS;CSG NA Equity;;;;;;;;;;0.007022138912474188;;;0.007022138912474188
ISHARES CORE S& P 500 UCITS ETF;CSPX LN Equity;;;;;;;;;;;;0.016493468179436372;0.016493468179436372
CTP NV;CTPNV NA Equity;;;;;;0.006481970570512262;;;;;0.008460690555327943;0.001499603438765943;0.016442264564606148
CAPTOR THERAPEUTICS S.A.;CTX PW Equity;0.003083408271262965;;;;;0.00011980433568853022;;0.0004200615845560851;;;;;0.0036232741915075806
PLN DATAWALK S.A.;DAT PW Equity;;;0.0018167682846049313;;;;;;;;;;0.0018167682846049313
DATADOG INC.;DDOG US Equity;;;;;;;0.0013332498917595847;0.01015308222522041;;;;;0.011486332116979994
DEKPOL S.A.;DEK PW Equity;;0.00159461677800635;;;;;;;;;;;0.00159461677800635
DELKO S.A.;DEL PW Equity;;0.0001573877980956483;;;;;;;;;;;0.0001573877980956483
DELL INC;DELL US Equity;;;;;;0.004179263206749731;;;;;;;0.004179263206749731
VINCI SA;DG FP Equity;;;;;;;0.004236557563546498;;;;;;0.004236557563546498
DIAGNOSTYKA S.A.;DIA PW Equity;0.0012010736196326281;0.008036369658102893;;;0.009966766657883706;0.011656629318369203;0.004738911479196573;0.005052827117825714;;0.01708451641799769;0.008183371414079207;0.005392200420067674;0.07131266610315529
DINO POLSKA S.A.;DNP PW Equity;0.06923037762672857;0.04732200056522807;0.02986040406263671;0.04240931784293894;0.031327672884444575;0.06963186042751686;0.04895486852308235;0.044080732827439;0.0477095308887354;0.021003453538186485;0.02678995340583104;0.014328341351001652;0.4926485139437697
DO & CO AG;DOC AV Equity;;;;0.005280537497637611;;0.0049680790487564697;;;;;;;0.01024861654639408
DOM DEVELOPMENT S.A.;DOM PW Equity;0.011251359607090077;0.006118740361081;;0.005213611636108517;0.0026554420793620503;0.008027799518983895;0.012355153023673378;0.002935304707889908;0.0039592134450876193;0.00578301199965629;0.009011139484795677;0.00515258941000466;0.07246336527373306
DUOLINGO INC.;DUOL US Equity;;;;;;;;0.007224638442504665;;;;;0.007224638442504665
DEVELIA S.A.;DVL PW Equity;0.012214470904060883;0.008307520535494841;0.00002378334367848654;0.012292920745376013;;0.009665068900626704;;0.009948892700908951;0.003407744410443472;;0.0006429352260761952;0.0020140942089258312;0.058517430975591385
ESOTIQ & HENDERSON S.A.;EAH PW Equity;;0.0013542732685327005;;;;;;;;;;;0.0013542732685327005
AMREST HOLDINGS SE;EAT PW Equity;;0.000006019064386965444;;;0.002303272235436549;;;;0.002663174029556194;;0.0006572087935014181;;0.005629674122881126
PLN ERSTE GROUP BANK AG;EBS AV Equity;;;0.01290862812655216;;;;;;;;;;0.01290862812655216
ECHO INVESTMENT S.A.;ECH PW Equity;;0.00050099743741430953;;0.00827218071440859;0.003675799093222658;;;0.0014847893624569822;0.0024946231114271064;;0.0035235765309488687;0.0014781944365352842;0.0214301606864138
ENEA S.A.;ENA PW Equity;;0.007329038768841117;;;;0.012593301393161649;0.0048074354690539134;;0.010302096635308005;;;0.006355524098072228;0.04138739636443691
ENTER AIR S.A.;ENT PW Equity;0.012012479505897142;0.0034527580599284663;;0.0048308969358094084;0.007081987547772319;;0.0016096357675979983;0.0023396732892200864;;;;;0.031327431106225423
EOG RESOURCES INC;EOG US Equity;;;;;;;0.0008355193179945708;;;;;;0.0008355193179945708
ERBUD S.A.;ERB PW Equity;;0.00019611347311157053;;;;;0.00053922851721221535;;;;;;0.000735341990323786
EUROTEL SA;ETL PW Equity;;0.00018641060403773516;;;;;;;0.000441678937746823;;;;0.000628089541784558
EUROCASH S.A.;EUR PW Equity;;0.0000025810489749196263;;;;0.006460286675312535;;0.004824589083491433;0.001641841522540831;;;;0.012929298330319718
FABRITY HOLDING S.A.;FAB PW Equity;;0.00040826916958187146;;;;;;;;;;;0.00040826916958187146
FREEPORT-MCMORAN INC;FCX US Equity;;;;;;;0.0018964011402420644;;;;;;0.0018964011402420644
FEERUM S.A.;FEE PW Equity;;0.0011269605667815798;;;;;;;;;;;0.0011269605667815798
FRESNILLO PLC;FRES LN Equity;;;;;;;0.003955658222596685;;;;;;0.003955658222596685
FERRO S.A.;FRO PW Equity;0.001848986831180007;0.001609778491893967;;0.005062500561118302;0.00462550779150001;0.0005933209335783988;0.0040092015772191203;0.0019126463985397663;0.0010423856279705798;;;0.0024253391774428368;0.023129667390442985
FORVIA SE;FRVIA FP Equity;;;;0.005342755725175181;;;;;;;;;0.005342755725175181
FEDERAL SIGNAL CORPORATION;FSS US Equity;;;;;;;0.003827111812647694;;;;;;0.003827111812647694
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;;0.0003071675339637697;;;;0.0005298451687033586;;0.001005884422195925;;;;;0.0018428971248630532
SOCIETE GENERALE PARIS;GLE FP Equity;;;;;;;0.0009640096247852786;;;;;;0.0009640096247852786
ALPHABET INC.;GOOGL US Equity;;;0.017689098244761985;0.010616974375757264;;;0.005625915757996733;;;;0.00897477573117377;;0.04290676410968975
GRUPA PRACUJ S.A.;GPP PW Equity;;0.004152397387668841;;;0.006935387002550936;;0.0049866462340543116;;0.003317321080824469;;0.005828477405367837;;0.025220229110466392
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;GPW PW Equity;0.002781474839381811;0.0016064385201390136;;;;0.00007336226213277083;0.001379955334241223;;0.0022484470279689964;;;0.09409169664415277;0.10218137462801659
GRODNO S.A.;GRN PW Equity;;0.0004250213462099427;;0.006240427330904806;;;;;;;;;0.006665448677114749
GREENEX METALS LTD;GRX AU Equity;;0.00058306531482173476;;;;;;;;;;;0.00058306531482173476
GLOBE TRADE CENTRE SA;GTC PW Equity;;;;;;;;;0.00005387123636212103;;;;0.00005387123636212103
HENSOLDT AG;HAG GR Equity;;;;;;;0.0017093982483546855;;;;;;0.0017093982483546855
PRZEDSIEBIORSTWO HYDRAULIKI SI;HDR PW Equity;;;;;;;;;0.00056601580655459546;;;;0.00056601580655459546
HEIDELBERG MATERIALS AG;HEI GR Equity;;;;;;;0.0014247984285010723;;;;;;0.0014247984285010723
HUUUGE INC.;HUG PW Equity;;0.0010414590686617861;;0.003694110849113507;;0.0007628649459524124;;0.0021140412514462845;0.0009530584447101809;;0.009503332842921186;;0.018068867402805355
INDRA SISTEMAS SA;IDR SM Equity;;;;;;;0.0013947318918112653;;;;;;0.0013947318918112653
Infineon Technologies AG;IFX GR Equity;0.005931023037114512;;;;;;;;;;;;0.005931023037114512
INDUSTRIAL MILK COMPANY S.A.;IMC PW Equity;;0.00031704619102470785;;;;;;;;;;;0.00031704619102470785
IMS S.A.;IMS PW Equity;;0.0013875322510568452;;;;;;;;;;;0.0013875322510568452
ING BANK ŚLĄSKI S.A.;ING PW Equity;0.006907180794350528;0.022028670180053203;0.00004359384890955095;;0.009080058003422443;0.009626959407047344;0.017108016280921439;0.019763926099700377;0.005282681934880442;;0.00010935664770231146;0.001411931403713803;0.09136237460070143
ING GROEP NV;INGA NA Equity;;;0.002831563347798423;;;;0.001560069136842122;;;;;;0.004391632484640545
INSTAL KRAKÓW S.A.;INK PW Equity;;0.00062316056660145974;;;;;;;;;;;0.00062316056660145974
INTROL S.A.;INL PW Equity;;0.0007569870194614683;;;;;;;;;;;0.0007569870194614683
INPOST S.A.;INPST NA Equity;;0.013287403668495668;;0.014999479709003285;0.019223827002252474;0.008438649672451741;0.008029430482565991;0.015846264411847661;;0.014497904030524682;0.027524896430743846;0.0032293573077391363;0.12507721271562449
INTEL CORP;INTC US Equity;;;;0.0041995398342835505;;;;;;;;;0.0041995398342835505
INGERSOLL-RAND INC;IR US Equity;;;;;;;0.0012387301201076933;;;;;;0.0012387301201076933
INTUITIVE SURGICAL INC;ISRG US Equity;;;;;;;0.001759664785423005;;;;;;0.001759664785423005
IZOBLOK S.A.;IZB PW Equity;;;;0.0006745664765568274;;;;;;;;;0.0006745664765568274
JERONIMO MARTINS SGPS S.A.;JMT PL Equity;;;0.008463205620821486;0.010680639536744134;;0.009978392633729272;0.001856599929075785;;;;0.020114346261135436;0.006994068417133996;0.0580872523986401
JPMORGAN CHASE & CO;JPM US Equity;;;;;;;0.0046252266066014946;;;;;;0.0046252266066014946
JASTRZEBSKA SPOLKA WEGLOWA SA;JSW PW Equity;;0.0010232383298914602;;;;;;;0.0026784492915890507;;;;0.0037016876214805106
KINROSS GOLD CORP;K CN Equity;;;;;;0.0029697092411867443;;;;;;;0.0029697092411867443
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;0.03213326367952471;0.038346432314532177;0.0004314824675936711;0.0185279203658391;0.0281445388654176;0.029462199388225927;0.01613212707929644;0.04389346885950875;0.03546960896050718;0.06202193515635679;0.015051534318395374;0.0043772938523005167;0.32399180530749824
COCA-COLA CO/THE;KO US Equity;;;;;;;0.0032595803440547383;;;;;;0.0032595803440547383
KINO POLSKA TV S.A.;KPL PW Equity;;0.0010352060388348434;;;;;;;;;;;0.0010352060388348434
PLN KRKA DD NOVO MESTO;KRKG SV Equity;;;0.000321938480403798;;;;;;;;;;0.000321938480403798
KRUK S.A.;KRU PW Equity;0.008968967826153312;0.016907437705430022;0.0035065641155601907;0.015168161951957426;0.021831125730416794;0.010474234139951724;;0.012045819900478274;0.014213976682615064;0.011251171333699164;0.018198727689810543;0.00583732772820258;0.1384035148042751
KONTRON AG;KTN GR Equity;;;;;;0.009976508187349729;;;;;;;0.009976508187349729
KRATOS DEFENSE & SECURITY SOLUTIONS INC;KTOS US Equity;;;;;;;0.001696946186346185;;;;;;0.001696946186346185
GRUPA KĘTY S.A.;KTY PW Equity;0.01822396228679773;0.017418706079169344;0.0009386501919610363;0.01516349318716511;0.019798637971291038;0.011402286837410984;0.023881260553349866;0.009363497311031435;0.016287169476140533;0.012061516459864279;0.016225396737895303;0.0038548438116001793;0.16461942090367685
LUBAWA S.A.;LBW PW Equity;0.0039055030942530616;;;;;0.00970920953868891;;;;;;;0.013614712632941972
CHENIERE ENERGY INC;LNG US Equity;;;;;;;0.0026178615241428804;;;;;;0.0026178615241428804
LPP S.A.;LPP PW Equity;0.03121254580673328;0.041138155867495065;0.09182679201155795;0.04428189132799441;0.06530104774009432;0.015171984797880116;0.01170607442547797;0.04814813442841456;0.03967022125082305;0.05665950546756152;0.08968824338235173;;0.53480459650638394
LSI SOFTWARE S.A.;LSI PW Equity;;0.0012601403709747455;;;;;;;;;;;0.0012601403709747455
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;;0.002908992713198376;0.0001371031916905982;;;;0.0005095178667332143;;;;;;0.003555613771622189
MASTERCARD INC.;MA US Equity;;;;;;;0.005745023539546699;;;;;;0.005745023539546699
MABION S.A.;MAB PW Equity;;0.000003880676768854407;;;;;;;;;;;0.000003880676768854407
MBANK S.A.;MBK PW Equity;0.007344968791008443;0.018102646911847198;0.05279132156522278;;0.017164505599457394;0.009377365591127587;0.008787530863645606;0.0177612257239892;0.015650546432525794;0.02887464227094949;0.013364307647350713;0.012432169819510301;0.2016512312166345
MO-BRUK S.A.;MBR PW Equity;;0.0027818448959019415;;0.005875524061967018;;;;;0.001826970174082799;0.003882320227231075;0.0029868718401296096;0.0028991551667545395;0.020252686366066985
LVMH Moet Hennessy Louis Vuitton;MC FP Equity;;;;;0.008990287768361204;;;;;;;;0.008990287768361204
MCDONALD'S CORP;MCD US Equity;;;;;;;0.0005461238428791791;;;;;;0.0005461238428791791
MERCOR S.A.;MCR PW Equity;;0.0016130211524417742;;;;;;;;;;;0.0016130211524417742
PLN MEDICALGORITHMICS S.A.;MDG PW Equity;;;0.014858382238979992;;;;;;;;;;0.014858382238979992
